Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 0:11:53,,
Header Version:,1,,
System Temp hundredths:,2966,,
Detector Temp hundredths:,2793,,
Humidity hundredths:,4183,,
Lamp PD:,3682,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.350651,21515.000000,9596.000000
904.302718,0.359973,24552.000000,10718.000000
908.203423,0.349565,27294.000000,12204.000000
912.099965,0.371882,30233.000000,12841.000000
917.288880,0.378687,35154.000000,14699.000000
921.175709,0.369996,39950.000000,17042.000000
925.058377,0.350461,46021.000000,20535.000000
928.936881,0.356010,52998.000000,23348.000000
932.811223,0.354727,60222.000000,26609.000000
936.681403,0.347869,67147.000000,30141.000000
940.547420,0.340419,73468.000000,33549.000000
944.409274,0.337267,79411.000000,36527.000000
948.266966,0.329045,85015.000000,39852.000000
952.120496,0.325751,90779.000000,42878.000000
955.969862,0.315415,96657.000000,46754.000000
961.095876,0.311712,104792.000000,51123.000000
964.935531,0.306349,111238.000000,54942.000000
968.771023,0.302733,118062.000000,58800.000000
972.602352,0.289656,124925.000000,64120.000000
976.429518,0.286802,131994.000000,68195.000000
980.252523,0.278971,138967.000000,73104.000000
984.071364,0.277179,145920.000000,77079.000000
987.886043,0.270932,152894.000000,81933.000000
991.696560,0.264824,159155.000000,86496.000000
995.502914,0.260397,164870.000000,90520.000000
999.305106,0.255789,170645.000000,94690.000000
1004.368219,0.248625,177445.000000,100101.000000
1008.160698,0.246367,181697.000000,103034.000000
1011.949015,0.241586,185254.000000,106214.000000
1015.733168,0.238599,188105.000000,108593.000000
1019.513160,0.234599,190373.000000,110919.000000
1023.288989,0.233119,191858.000000,112166.000000
1027.060655,0.229585,192972.000000,113739.000000
1030.828159,0.227712,193493.000000,114539.000000
1034.591500,0.224314,193678.000000,115549.000000
1038.350679,0.220518,193541.000000,116481.000000
1042.105695,0.218397,193076.000000,116770.000000
1047.105908,0.217053,192145.000000,116567.000000
1050.851212,0.213746,191816.000000,117257.000000
1054.592353,0.210522,191081.000000,117678.000000
1058.329331,0.209209,190177.000000,117476.000000
1062.062147,0.207961,189720.000000,117531.000000
1065.790801,0.205168,189694.000000,118273.000000
1069.515292,0.201860,189652.000000,119151.000000
1073.235620,0.201101,189448.000000,119231.000000
1076.951786,0.198993,189405.000000,119784.000000
1080.663789,0.196342,189835.000000,120791.000000
1084.371630,0.194388,190358.000000,121670.000000
1089.308943,0.190410,190410.000000,122823.000000
1093.007071,0.190491,190988.000000,123173.000000
1096.701037,0.190032,191821.000000,123841.000000
1100.390840,0.188183,192263.000000,124656.000000
1104.076481,0.188234,192389.000000,124723.000000
1107.757959,0.187259,192652.000000,125174.000000
1111.435274,0.186413,193082.000000,125698.000000
1115.108427,0.185372,193234.000000,126099.000000
1118.777418,0.183142,193156.000000,126697.000000
1122.442246,0.182525,193177.000000,126891.000000
1126.102912,0.181096,193066.000000,127236.000000
1130.977324,0.181271,192839.000000,127035.000000
1134.628277,0.178341,192878.000000,127921.000000
1138.275067,0.177776,192903.000000,128104.000000
1141.917695,0.177956,192829.000000,128002.000000
1145.556160,0.176269,192832.000000,128502.000000
1149.190463,0.174158,192718.000000,129052.000000
1152.820603,0.174166,192844.000000,129134.000000
1156.446581,0.173467,193132.000000,129535.000000
1160.068396,0.173447,193399.000000,129720.000000
1163.686049,0.173337,193754.000000,129991.000000
1167.299539,0.172264,194327.000000,130698.000000
1172.111051,0.172057,195511.000000,131557.000000
1175.714828,0.172540,196715.000000,132220.000000
1179.314443,0.171130,198057.000000,133555.000000
1182.909896,0.170777,199867.000000,134885.000000
1186.501186,0.172432,201952.000000,135774.000000
1190.088313,0.173843,204430.000000,136994.000000
1193.671278,0.172926,206898.000000,138941.000000
1197.250081,0.173354,209514.000000,140559.000000
1200.824720,0.174731,212014.000000,141786.000000
1204.395198,0.174230,215006.000000,143953.000000
1207.961512,0.174697,218192.000000,145929.000000
1212.710124,0.177450,222697.000000,148001.000000
1216.266726,0.176122,226129.000000,150742.000000
1219.819166,0.175117,229879.000000,153597.000000
1223.367443,0.175748,233734.000000,155946.000000
1226.911558,0.175268,237415.000000,158577.000000
1230.451510,0.173705,241303.000000,161755.000000
1233.987299,0.173626,245662.000000,164707.000000
1237.518926,0.174171,249852.000000,167306.000000
1241.046391,0.172526,254116.000000,170807.000000
1244.569693,0.171161,258582.000000,174356.000000
1248.088832,0.170758,263190.000000,177628.000000
1252.774543,0.170902,269335.000000,181715.000000
1256.283970,0.172588,273320.000000,183689.000000
1259.789234,0.173026,277310.000000,186183.000000
1263.290336,0.171279,280944.000000,189383.000000
1266.787275,0.171306,284632.000000,191857.000000
1270.280052,0.169698,288252.000000,195018.000000
1273.768666,0.169581,293327.000000,198505.000000
1277.253118,0.167925,300332.000000,204022.000000
1280.733407,0.167132,308094.000000,209677.000000
1284.209534,0.166522,315432.000000,214973.000000
1287.681498,0.165486,322096.000000,220039.000000
1292.304308,0.165762,330682.000000,225761.000000
1295.766560,0.165799,336095.000000,229437.000000
1299.224649,0.165300,340804.000000,232919.000000
1302.678575,0.165804,345564.000000,235898.000000
1306.128339,0.165757,349871.000000,238864.000000
1309.573940,0.166801,353450.000000,240728.000000
1313.015379,0.166175,356528.000000,243175.000000
1316.452656,0.166040,359525.000000,245295.000000
1319.885770,0.166924,362042.000000,246510.000000
1323.314721,0.166990,363642.000000,247562.000000
1326.739510,0.167027,364791.000000,248323.000000
1331.299419,0.167534,366507.000000,249200.000000
1334.714496,0.167078,367277.000000,249986.000000
1338.125409,0.167480,367127.000000,249653.000000
1341.532160,0.167498,366818.000000,249432.000000
1344.934749,0.168579,366614.000000,248674.000000
1348.333175,0.168595,365783.000000,248101.000000
1351.727439,0.169810,364092.000000,246264.000000
1355.117540,0.170329,362052.000000,244592.000000
