Method:,Hadamard,,
Host Date-Time:,6/5/18 @ 17:42:53,,
Header Version:,1,,
System Temp hundredths:,3078,,
Detector Temp hundredths:,3005,,
Humidity hundredths:,3887,,
Lamp PD:,3754,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,-0.024566,10757.000000,11383.000000
904.302718,-0.019136,12276.000000,12829.000000
908.203423,-0.020056,13647.000000,14292.000000
912.099965,-0.008957,15116.000000,15431.000000
917.288880,0.007074,17577.000000,17293.000000
921.175709,0.005250,19975.000000,19735.000000
925.058377,0.000453,23010.000000,22986.000000
928.936881,0.004100,26499.000000,26250.000000
932.811223,0.007668,30111.000000,29584.000000
936.681403,0.006530,33573.000000,33072.000000
940.547420,0.002775,36734.000000,36500.000000
944.409274,0.007402,39705.000000,39034.000000
948.266966,0.005936,42507.000000,41930.000000
952.120496,0.010880,45389.000000,44266.000000
955.969862,0.007716,48328.000000,47477.000000
961.095876,0.012086,52396.000000,50958.000000
964.935531,0.015095,55619.000000,53719.000000
968.771023,0.016151,59031.000000,56876.000000
972.602352,0.011934,62462.000000,60769.000000
976.429518,0.013949,65997.000000,63911.000000
980.252523,0.014664,69483.000000,67176.000000
984.071364,0.017745,72960.000000,70039.000000
987.886043,0.016955,76447.000000,73520.000000
991.696560,0.019055,79577.000000,76161.000000
995.502914,0.018611,82435.000000,78977.000000
999.305106,0.020778,85322.000000,81336.000000
1004.368219,0.021077,88722.000000,84519.000000
1008.160698,0.022481,90848.000000,86265.000000
1011.949015,0.022768,92627.000000,87896.000000
1015.733168,0.023612,94052.000000,89075.000000
1019.513160,0.023762,95186.000000,90118.000000
1023.288989,0.023912,95929.000000,90790.000000
1027.060655,0.023532,96486.000000,91397.000000
1030.828159,0.023595,96746.000000,91630.000000
1034.591500,0.020971,96839.000000,92274.000000
1038.350679,0.020610,96770.000000,92285.000000
1042.105695,0.019421,96538.000000,92316.000000
1047.105908,0.019522,96072.000000,91849.000000
1050.851212,0.017421,95908.000000,92137.000000
1054.592353,0.015713,95540.000000,92145.000000
1058.329331,0.014895,95088.000000,91882.000000
1062.062147,0.014756,94860.000000,91691.000000
1065.790801,0.012915,94847.000000,92068.000000
1069.515292,0.009211,94826.000000,92836.000000
1073.235620,0.010943,94724.000000,92367.000000
1076.951786,0.010095,94702.000000,92526.000000
1080.663789,0.007253,94917.000000,93345.000000
1084.371630,0.008236,95179.000000,93391.000000
1089.308943,0.004886,95205.000000,94140.000000
1093.007071,0.006908,95494.000000,93987.000000
1096.701037,0.006294,95910.000000,94530.000000
1100.390840,0.004646,96131.000000,95108.000000
1104.076481,0.006532,96194.000000,94758.000000
1107.757959,0.006185,96326.000000,94964.000000
1111.435274,0.005655,96541.000000,95292.000000
1115.108427,0.006727,96617.000000,95132.000000
1118.777418,0.004629,96578.000000,95554.000000
1122.442246,0.004665,96588.000000,95556.000000
1126.102912,0.004986,96533.000000,95431.000000
1130.977324,0.006782,96419.000000,94925.000000
1134.628277,0.006625,96439.000000,94979.000000
1138.275067,0.007943,96451.000000,94703.000000
1141.917695,0.009753,96414.000000,94273.000000
1145.556160,0.009817,96416.000000,94261.000000
1149.190463,0.011726,96359.000000,93792.000000
1152.820603,0.013067,96422.000000,93564.000000
1156.446581,0.015450,96566.000000,93191.000000
1160.068396,0.018680,96699.000000,92628.000000
1163.686049,0.021980,96877.000000,92096.000000
1167.299539,0.024039,97163.000000,91931.000000
1172.111051,0.027154,97755.000000,91830.000000
1175.714828,0.031987,98357.000000,91373.000000
