Method:,Hadamard,,
Host Date-Time:,6/5/18 @ 17:43:3,,
Header Version:,1,,
System Temp hundredths:,3078,,
Detector Temp hundredths:,3001,,
Humidity hundredths:,3887,,
Lamp PD:,3755,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,-0.026355,10757.000000,11430.000000
904.302718,-0.018458,12276.000000,12809.000000
908.203423,-0.026001,13647.000000,14489.000000
912.099965,-0.012070,15116.000000,15542.000000
917.288880,-0.000272,17577.000000,17588.000000
921.175709,0.003011,19975.000000,19837.000000
925.058377,-0.001131,23010.000000,23070.000000
928.936881,0.000755,26499.000000,26453.000000
932.811223,0.004596,30111.000000,29794.000000
936.681403,0.004931,33573.000000,33194.000000
940.547420,0.000840,36734.000000,36663.000000
944.409274,0.004276,39705.000000,39316.000000
948.266966,0.001812,42507.000000,42330.000000
952.120496,0.007081,45389.000000,44655.000000
955.969862,0.004462,48328.000000,47834.000000
961.095876,0.007972,52396.000000,51443.000000
964.935531,0.010223,55619.000000,54325.000000
968.771023,0.012888,59031.000000,57305.000000
972.602352,0.010073,62462.000000,61030.000000
976.429518,0.011394,65997.000000,64288.000000
980.252523,0.011232,69483.000000,67709.000000
984.071364,0.015457,72960.000000,70409.000000
987.886043,0.014504,76447.000000,73936.000000
991.696560,0.015048,79577.000000,76867.000000
995.502914,0.015417,82435.000000,79560.000000
999.305106,0.016829,85322.000000,82079.000000
1004.368219,0.017689,88722.000000,85181.000000
1008.160698,0.020101,90848.000000,86739.000000
1011.949015,0.019431,92627.000000,88574.000000
1015.733168,0.020803,94052.000000,89653.000000
1019.513160,0.021752,95186.000000,90536.000000
1023.288989,0.021317,95929.000000,91334.000000
1027.060655,0.021475,96486.000000,91831.000000
1030.828159,0.021925,96746.000000,91983.000000
1034.591500,0.019224,96839.000000,92646.000000
1038.350679,0.018043,96770.000000,92832.000000
1042.105695,0.017441,96538.000000,92738.000000
1047.105908,0.016220,96072.000000,92550.000000
1050.851212,0.014930,95908.000000,92667.000000
1054.592353,0.012488,95540.000000,92832.000000
1058.329331,0.012839,95088.000000,92318.000000
1062.062147,0.011966,94860.000000,92282.000000
1065.790801,0.010826,94847.000000,92512.000000
1069.515292,0.007321,94826.000000,93241.000000
1073.235620,0.008365,94724.000000,92917.000000
1076.951786,0.008016,94702.000000,92970.000000
1080.663789,0.005289,94917.000000,93768.000000
1084.371630,0.005201,95179.000000,94046.000000
1089.308943,0.002232,95205.000000,94717.000000
1093.007071,0.003085,95494.000000,94818.000000
1096.701037,0.003441,95910.000000,95153.000000
1100.390840,0.002446,96131.000000,95591.000000
1104.076481,0.003277,96194.000000,95471.000000
1107.757959,0.003295,96326.000000,95598.000000
1111.435274,0.002658,96541.000000,95952.000000
1115.108427,0.002954,96617.000000,95962.000000
1118.777418,0.002064,96578.000000,96120.000000
1122.442246,0.002033,96588.000000,96137.000000
1126.102912,0.001415,96533.000000,96219.000000
1130.977324,0.004209,96419.000000,95489.000000
1134.628277,0.003999,96439.000000,95555.000000
1138.275067,0.005948,96451.000000,95139.000000
1141.917695,0.007350,96414.000000,94796.000000
1145.556160,0.007309,96416.000000,94807.000000
1149.190463,0.008240,96359.000000,94548.000000
1152.820603,0.010730,96422.000000,94069.000000
1156.446581,0.012765,96566.000000,93769.000000
1160.068396,0.016794,96699.000000,93031.000000
1163.686049,0.019868,96877.000000,92545.000000
1167.299539,0.022224,97163.000000,92316.000000
1172.111051,0.025512,97755.000000,92178.000000
1175.714828,0.030327,98357.000000,91723.000000
1179.314443,0.033228,99028.000000,91734.000000
1182.909896,0.034578,99933.000000,92285.000000
1186.501186,0.039087,100976.000000,92285.000000
1190.088313,0.040705,102215.000000,93070.000000
1193.671278,0.039860,103449.000000,94377.000000
1197.250081,0.038623,104757.000000,95843.000000
1200.824720,0.037516,106007.000000,97234.000000
1204.395198,0.035759,107503.000000,99006.000000
1207.961512,0.033625,109096.000000,100968.000000
1212.710124,0.033003,111348.000000,103200.000000
1216.266726,0.031139,113064.000000,105241.000000
1219.819166,0.028825,114939.000000,107558.000000
1223.367443,0.028044,116867.000000,109559.000000
1226.911558,0.027470,118707.000000,111431.000000
1230.451510,0.026504,120651.000000,113508.000000
1233.987299,0.027660,122831.000000,115252.000000
1237.518926,0.028853,124926.000000,116896.000000
1241.046391,0.029017,127058.000000,118846.000000
1244.569693,0.029652,129291.000000,120758.000000
1248.088832,0.030689,131595.000000,122617.000000
1252.774543,0.033701,134667.000000,124612.000000
1256.283970,0.035954,136660.000000,125802.000000
1259.789234,0.038481,138655.000000,126898.000000
1263.290336,0.036926,140472.000000,129022.000000
1266.787275,0.036878,142316.000000,130730.000000
1270.280052,0.036025,144126.000000,132653.000000
1273.768666,0.035443,146663.000000,135169.000000
1277.253118,0.034041,150166.000000,138845.000000
1280.733407,0.031671,154047.000000,143213.000000
1284.209534,0.030792,157716.000000,146921.000000
1287.681498,0.029306,161048.000000,150539.000000
1292.304308,0.028139,165341.000000,154968.000000
1295.766560,0.028172,168047.000000,157492.000000
1299.224649,0.027276,170402.000000,160029.000000
1302.678575,0.027287,172782.000000,162260.000000
1306.128339,0.027826,174935.000000,164078.000000
1309.573940,0.028411,176725.000000,165534.000000
1313.015379,0.027926,178264.000000,167162.000000
1316.452656,0.027977,179762.000000,168547.000000
1319.885770,0.029028,181021.000000,169317.000000
1323.314721,0.029083,181821.000000,170044.000000
1326.739510,0.029757,182395.000000,170316.000000
1331.299419,0.030978,183253.000000,170637.000000
1334.714496,0.031297,183638.000000,170870.000000
1338.125409,0.033173,183563.000000,170064.000000
1341.532160,0.034718,183409.000000,169318.000000
1344.934749,0.038061,183307.000000,167926.000000
1348.333175,0.040150,182891.000000,166741.000000
1351.727439,0.044639,182046.000000,164264.000000
1355.117540,0.047979,181026.000000,162092.000000
1358.503478,0.051198,179849.000000,159849.000000
1361.885254,0.053632,178683.000000,157925.000000
1365.262867,0.055686,177377.000000,156031.000000
1369.759877,0.058205,175414.000000,153412.000000
1373.127778,0.058241,174134.000000,152280.000000
1376.491516,0.059560,173137.000000,150949.000000
1379.851092,0.059468,172426.000000,150361.000000
1383.206505,0.059233,172084.000000,150144.000000
1386.557756,0.060194,172139.000000,149860.000000
1389.904844,0.061339,172194.000000,149513.000000
1393.247769,0.061241,172049.000000,149421.000000
1396.586533,0.061946,171827.000000,148986.000000
1399.921133,0.062287,171640.000000,148707.000000
1403.251571,0.063344,171481.000000,148208.000000
1407.685680,0.066229,171148.000000,146941.000000
1411.006406,0.069645,171079.000000,145731.000000
1414.322969,0.071479,170991.000000,145042.000000
1417.635369,0.074597,170881.000000,143912.000000
1420.943607,0.077982,170720.000000,142660.000000
1424.247682,0.081574,170685.000000,141456.000000
1427.547595,0.085832,170790.000000,140162.000000
1430.843345,0.091183,170905.000000,138539.000000
1434.134933,0.094764,170830.000000,137341.000000
1437.422358,0.100293,170915.000000,135671.000000
1440.705621,0.107781,170956.000000,133384.000000
1445.076830,0.118949,171004.000000,130034.000000
1448.350380,0.129000,170838.000000,126936.000000
1451.619767,0.138544,170625.000000,124022.000000
1454.884993,0.151770,170313.000000,120082.000000
1458.146055,0.162002,169927.000000,117020.000000
1461.402955,0.173449,169493.000000,113685.000000
