Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 1:39:42,,
Header Version:,1,,
System Temp hundredths:,2858,,
Detector Temp hundredths:,2694,,
Humidity hundredths:,4211,,
Lamp PD:,3697,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.180973,21515.000000,14183.000000
904.302718,0.185614,24552.000000,16013.000000
908.203423,0.176808,27294.000000,18166.000000
912.099965,0.192076,30233.000000,19427.000000
917.288880,0.199563,35154.000000,22203.000000
921.175709,0.199772,39950.000000,25220.000000
925.058377,0.192487,46021.000000,29544.000000
928.936881,0.196011,52998.000000,33748.000000
932.811223,0.196772,60222.000000,38281.000000
936.681403,0.195410,67147.000000,42817.000000
940.547420,0.193816,73468.000000,47020.000000
944.409274,0.196563,79411.000000,50503.000000
948.266966,0.194200,85015.000000,54362.000000
952.120496,0.196448,90779.000000,57748.000000
955.969862,0.194266,96657.000000,61797.000000
961.095876,0.196697,104792.000000,66624.000000
964.935531,0.197775,111238.000000,70547.000000
968.771023,0.199400,118062.000000,74595.000000
972.602352,0.194277,124925.000000,79868.000000
976.429518,0.197139,131994.000000,83833.000000
980.252523,0.194880,138967.000000,88722.000000
984.071364,0.197073,145920.000000,92692.000000
987.886043,0.196595,152894.000000,97229.000000
991.696560,0.194124,159155.000000,101788.000000
995.502914,0.192373,164870.000000,105869.000000
999.305106,0.191424,170645.000000,109817.000000
1004.368219,0.188426,177445.000000,114984.000000
1008.160698,0.187639,181697.000000,117953.000000
1011.949015,0.185514,185254.000000,120852.000000
1015.733168,0.184252,188105.000000,123069.000000
1019.513160,0.182542,190373.000000,125044.000000
1023.288989,0.181415,191858.000000,126347.000000
1027.060655,0.179892,192972.000000,127527.000000
1030.828159,0.177877,193493.000000,128466.000000
1034.591500,0.176571,193678.000000,128976.000000
1038.350679,0.173994,193541.000000,129652.000000
1042.105695,0.173405,193076.000000,129516.000000
1047.105908,0.172269,192145.000000,129229.000000
1050.851212,0.170380,191816.000000,129570.000000
1054.592353,0.168422,191081.000000,129657.000000
1058.329331,0.167600,190177.000000,129288.000000
1062.062147,0.167271,189720.000000,129075.000000
1065.790801,0.164973,189694.000000,129742.000000
1069.515292,0.162547,189652.000000,130440.000000
1073.235620,0.163126,189448.000000,130126.000000
1076.951786,0.161678,189405.000000,130531.000000
1080.663789,0.160393,189835.000000,131215.000000
1084.371630,0.159139,190358.000000,131957.000000
1089.308943,0.156976,190410.000000,132652.000000
1093.007071,0.157220,190988.000000,132980.000000
1096.701037,0.157080,191821.000000,133603.000000
1100.390840,0.156619,192263.000000,134053.000000
1104.076481,0.157770,192389.000000,133786.000000
1107.757959,0.157672,192652.000000,133999.000000
1111.435274,0.157404,193082.000000,134381.000000
1115.108427,0.157878,193234.000000,134340.000000
1118.777418,0.157428,193156.000000,134425.000000
1122.442246,0.156888,193177.000000,134607.000000
1126.102912,0.157151,193066.000000,134448.000000
1130.977324,0.159837,192839.000000,133462.000000
1134.628277,0.160436,192878.000000,133305.000000
1138.275067,0.161843,192903.000000,132891.000000
1141.917695,0.164937,192829.000000,131897.000000
1145.556160,0.166809,192832.000000,131332.000000
1149.190463,0.168730,192718.000000,130675.000000
1152.820603,0.172427,192844.000000,129652.000000
1156.446581,0.175595,193132.000000,128902.000000
1160.068396,0.179458,193399.000000,127937.000000
1163.686049,0.184080,193754.000000,126815.000000
1167.299539,0.186800,194327.000000,126396.000000
1172.111051,0.190160,195511.000000,126186.000000
1175.714828,0.194053,196715.000000,125830.000000
1179.314443,0.195442,198057.000000,126284.000000
1182.909896,0.196630,199867.000000,127090.000000
1186.501186,0.199946,201952.000000,127439.000000
1190.088313,0.202081,204430.000000,128370.000000
1193.671278,0.201973,206898.000000,129952.000000
1197.250081,0.203170,209514.000000,131233.000000
1200.824720,0.203903,212014.000000,132575.000000
1204.395198,0.202999,215006.000000,134726.000000
1207.961512,0.203061,218192.000000,136703.000000
1212.710124,0.203682,222697.000000,139326.000000
1216.266726,0.201374,226129.000000,142227.000000
1219.819166,0.198801,229879.000000,145445.000000
1223.367443,0.197001,233734.000000,148498.000000
1226.911558,0.195247,237415.000000,151447.000000
1230.451510,0.192200,241303.000000,155011.000000
1233.987299,0.191153,245662.000000,158192.000000
1237.518926,0.190676,249852.000000,161067.000000
1241.046391,0.188006,254116.000000,164826.000000
1244.569693,0.186339,258582.000000,168368.000000
1248.088832,0.185373,263190.000000,171750.000000
1252.774543,0.185170,269335.000000,175842.000000
1256.283970,0.185983,273320.000000,178110.000000
1259.789234,0.186898,277310.000000,180330.000000
1263.290336,0.185329,280944.000000,183354.000000
1266.787275,0.184958,284632.000000,185920.000000
1270.280052,0.183566,288252.000000,188889.000000
1273.768666,0.182732,293327.000000,192584.000000
1277.253118,0.180395,300332.000000,198247.000000
1280.733407,0.178955,308094.000000,204046.000000
1284.209534,0.177579,315432.000000,209569.000000
1287.681498,0.175688,322096.000000,214930.000000
1292.304308,0.174545,330682.000000,221241.000000
1295.766560,0.174380,336095.000000,224948.000000
1299.224649,0.173653,340804.000000,228482.000000
1302.678575,0.174064,345564.000000,231454.000000
1306.128339,0.174531,349871.000000,234087.000000
1309.573940,0.175370,353450.000000,236025.000000
1313.015379,0.175794,356528.000000,237848.000000
1316.452656,0.176570,359525.000000,239419.000000
1319.885770,0.178168,362042.000000,240210.000000
1323.314721,0.179465,363642.000000,240552.000000
1326.739510,0.181283,364791.000000,240304.000000
1331.299419,0.184344,366507.000000,239739.000000
1334.714496,0.186461,367277.000000,239074.000000
1338.125409,0.189650,367127.000000,237228.000000
1341.532160,0.192421,366818.000000,235521.000000
1344.934749,0.196393,366614.000000,233247.000000
1348.333175,0.199670,365783.000000,230969.000000
1351.727439,0.204077,364092.000000,227580.000000
1355.117540,0.207994,362052.000000,224273.000000
1358.503478,0.211416,359698.000000,221066.000000
1361.885254,0.214493,357366.000000,218082.000000
1365.262867,0.216634,354755.000000,215424.000000
1369.759877,0.221344,350829.000000,210742.000000
1373.127778,0.223987,348269.000000,207935.000000
1376.491516,0.228246,346275.000000,204727.000000
1379.851092,0.232348,344852.000000,201969.000000
1383.206505,0.237599,344168.000000,199146.000000
1386.557756,0.244770,344279.000000,195948.000000
1389.904844,0.253785,344388.000000,191983.000000
1393.247769,0.262187,344098.000000,188146.000000
1396.586533,0.272800,343654.000000,183367.000000
1399.921133,0.283590,343280.000000,178673.000000
1403.251571,0.296467,342962.000000,173292.000000
1407.685680,0.317338,342297.000000,164841.000000
1411.006406,0.335214,342159.000000,158130.000000
1414.322969,0.351731,341982.000000,152150.000000
1417.635369,0.368840,341763.000000,146179.000000
1420.943607,0.384727,341440.000000,140795.000000
1424.247682,0.397731,341371.000000,136614.000000
1427.547595,0.411168,341580.000000,132533.000000
1430.843345,0.423198,341810.000000,128999.000000
1434.134933,0.430749,341660.000000,126720.000000
1437.422358,0.439022,341831.000000,124391.000000
1440.705621,0.446108,341912.000000,122407.000000
1445.076830,0.454683,342009.000000,120048.000000
1448.350380,0.461063,341676.000000,118182.000000
1451.619767,0.464031,341251.000000,117231.000000
1454.884993,0.469810,340627.000000,115470.000000
1458.146055,0.473780,339855.000000,114160.000000
1461.402955,0.475953,338987.000000,113300.000000
1464.655693,0.480455,337912.000000,111776.000000
1467.904268,0.482565,336614.000000,110807.000000
1471.148680,0.486055,335386.000000,109519.000000
1474.388930,0.487470,334268.000000,108799.000000
1477.625017,0.491742,332996.000000,107324.000000
1481.933325,0.495048,331210.000000,105939.000000
1485.159700,0.496681,329847.000000,105107.000000
1488.381912,0.499234,328376.000000,104025.000000
1491.599962,0.501894,326833.000000,102904.000000
1494.813849,0.501195,325052.000000,102508.000000
1498.023574,0.498794,323143.000000,102471.000000
1501.229136,0.497531,321148.000000,102135.000000
1504.430536,0.493590,319148.000000,102424.000000
1507.627773,0.491092,317184.000000,102381.000000
1510.820847,0.485849,314847.000000,102861.000000
1514.009759,0.481895,312452.000000,103012.000000
