Method:,Hadamard,,
Host Date-Time:,6/5/18 @ 18:29:28,,
Header Version:,1,,
System Temp hundredths:,3067,,
Detector Temp hundredths:,2922,,
Humidity hundredths:,3838,,
Lamp PD:,3753,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,-0.023305,10757.000000,11350.000000
904.302718,-0.006601,12276.000000,12464.000000
908.203423,-0.015566,13647.000000,14145.000000
912.099965,-0.002207,15116.000000,15193.000000
917.288880,0.004021,17577.000000,17415.000000
921.175709,0.007965,19975.000000,19612.000000
925.058377,0.003468,23010.000000,22827.000000
928.936881,0.009427,26499.000000,25930.000000
932.811223,0.011458,30111.000000,29327.000000
936.681403,0.011682,33573.000000,32682.000000
940.547420,0.010555,36734.000000,35852.000000
944.409274,0.012956,39705.000000,38538.000000
948.266966,0.013943,42507.000000,41164.000000
952.120496,0.014160,45389.000000,43933.000000
955.969862,0.014148,48328.000000,46779.000000
961.095876,0.020137,52396.000000,50022.000000
964.935531,0.022540,55619.000000,52806.000000
968.771023,0.027108,59031.000000,55459.000000
972.602352,0.024661,62462.000000,59014.000000
976.429518,0.031632,65997.000000,61361.000000
980.252523,0.029299,69483.000000,64950.000000
984.071364,0.030768,72960.000000,67970.000000
987.886043,0.031747,76447.000000,71058.000000
991.696560,0.030454,79577.000000,74188.000000
995.502914,0.029559,82435.000000,77011.000000
999.305106,0.028574,85322.000000,79889.000000
1004.368219,0.027694,88722.000000,83241.000000
1008.160698,0.028973,90848.000000,84985.000000
1011.949015,0.026460,92627.000000,87152.000000
1015.733168,0.027363,94052.000000,88309.000000
1019.513160,0.027571,95186.000000,89331.000000
1023.288989,0.028161,95929.000000,89906.000000
1027.060655,0.026474,96486.000000,90780.000000
1030.828159,0.026663,96746.000000,90985.000000
1034.591500,0.026208,96839.000000,91168.000000
1038.350679,0.024182,96770.000000,91529.000000
1042.105695,0.024237,96538.000000,91298.000000
1047.105908,0.023450,96072.000000,91022.000000
1050.851212,0.022265,95908.000000,91115.000000
1054.592353,0.020958,95540.000000,91039.000000
1058.329331,0.021664,95088.000000,90461.000000
1062.062147,0.020675,94860.000000,90450.000000
1065.790801,0.019234,94847.000000,90738.000000
1069.515292,0.017752,94826.000000,91028.000000
1073.235620,0.017557,94724.000000,90971.000000
1076.951786,0.016865,94702.000000,91095.000000
1080.663789,0.016431,94917.000000,91393.000000
1084.371630,0.014598,95179.000000,92033.000000
1089.308943,0.012701,95205.000000,92461.000000
1093.007071,0.013154,95494.000000,92645.000000
1096.701037,0.012583,95910.000000,93171.000000
1100.390840,0.012447,96131.000000,93415.000000
1104.076481,0.011700,96194.000000,93637.000000
1107.757959,0.012885,96326.000000,93510.000000
1111.435274,0.013032,96541.000000,93687.000000
1115.108427,0.012032,96617.000000,93977.000000
1118.777418,0.011727,96578.000000,94005.000000
1122.442246,0.012239,96588.000000,93904.000000
1126.102912,0.011354,96533.000000,94042.000000
1130.977324,0.012743,96419.000000,93631.000000
1134.628277,0.012722,96439.000000,93655.000000
1138.275067,0.014560,96451.000000,93271.000000
1141.917695,0.015947,96414.000000,92938.000000
1145.556160,0.017824,96416.000000,92539.000000
1149.190463,0.017347,96359.000000,92586.000000
1152.820603,0.021532,96422.000000,91758.000000
1156.446581,0.024629,96566.000000,91242.000000
1160.068396,0.027164,96699.000000,90836.000000
1163.686049,0.030913,96877.000000,90221.000000
1167.299539,0.034239,97163.000000,89797.000000
1172.111051,0.037613,97755.000000,89645.000000
1175.714828,0.041545,98357.000000,89384.000000
1179.314443,0.043673,99028.000000,89554.000000
1182.909896,0.047251,99933.000000,89631.000000
1186.501186,0.052051,100976.000000,89571.000000
1190.088313,0.056200,102215.000000,89808.000000
1193.671278,0.057057,103449.000000,90713.000000
1197.250081,0.059546,104757.000000,91335.000000
1200.824720,0.062534,106007.000000,91791.000000
1204.395198,0.063910,107503.000000,92792.000000
1207.961512,0.064662,109096.000000,94004.000000
1212.710124,0.067813,111348.000000,95251.000000
1216.266726,0.065185,113064.000000,97306.000000
1219.819166,0.064262,114939.000000,99130.000000
1223.367443,0.064507,116867.000000,100736.000000
1226.911558,0.062247,118707.000000,102856.000000
1230.451510,0.060586,120651.000000,104941.000000
1233.987299,0.060542,122831.000000,106848.000000
1237.518926,0.059840,124926.000000,108846.000000
1241.046391,0.058014,127058.000000,111170.000000
1244.569693,0.057327,129291.000000,113303.000000
1248.088832,0.056815,131595.000000,115458.000000
1252.774543,0.056651,134667.000000,118198.000000
