Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 1:38:27,,
Header Version:,1,,
System Temp hundredths:,2848,,
Detector Temp hundredths:,2679,,
Humidity hundredths:,4230,,
Lamp PD:,3695,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.047657,21515.000000,19279.000000
904.302718,0.797688,24552.000000,3912.000000
908.203423,0.221382,27294.000000,16394.000000
912.099965,0.535555,30233.000000,8809.000000
917.288880,0.110672,35154.000000,27246.000000
921.175709,0.317221,39950.000000,19244.000000
925.058377,0.176143,46021.000000,30677.000000
928.936881,0.347409,52998.000000,23815.000000
932.811223,0.278395,60222.000000,31722.000000
936.681403,0.213724,67147.000000,41049.000000
940.547420,0.346349,73468.000000,33094.000000
944.409274,0.275114,79411.000000,42147.000000
948.266966,0.457427,85015.000000,29653.000000
952.120496,0.207408,90779.000000,56309.000000
955.969862,0.297660,96657.000000,48705.000000
961.095876,0.335043,104792.000000,48449.000000
964.935531,0.248439,111238.000000,62779.000000
968.771023,0.297163,118062.000000,59559.000000
972.602352,0.191766,124925.000000,80331.000000
976.429518,0.398571,131994.000000,52721.000000
980.252523,0.267330,138967.000000,75090.000000
984.071364,0.211380,145920.000000,89688.000000
987.886043,0.379427,152894.000000,63821.000000
991.696560,0.268794,159155.000000,85709.000000
995.502914,0.314785,164870.000000,79865.000000
999.305106,0.244043,170645.000000,97286.000000
1004.368219,0.282354,177445.000000,92621.000000
1008.160698,0.310749,181697.000000,88838.000000
1011.949015,0.235967,185254.000000,107597.000000
1015.733168,0.279885,188105.000000,98745.000000
1019.513160,0.238323,190373.000000,109972.000000
1023.288989,0.303955,191858.000000,95285.000000
1027.060655,0.265751,192972.000000,104651.000000
1030.828159,0.223321,193493.000000,115703.000000
1034.591500,0.327000,193678.000000,91218.000000
1038.350679,0.256809,193541.000000,107143.000000
1042.105695,0.281003,193076.000000,101094.000000
1047.105908,0.244362,192145.000000,109463.000000
1050.851212,0.267014,191816.000000,103722.000000
1054.592353,0.265242,191081.000000,103747.000000
1058.329331,0.285510,190177.000000,98548.000000
1062.062147,0.257976,189720.000000,104746.000000
1065.790801,0.213918,189694.000000,115914.000000
1069.515292,0.309498,189652.000000,92995.000000
1073.235620,0.248378,189448.000000,106933.000000
1076.951786,0.202221,189405.000000,118897.000000
1080.663789,0.319564,189835.000000,90952.000000
1084.371630,0.242898,190358.000000,108811.000000
1089.308943,0.273506,190410.000000,101434.000000
1093.007071,0.235859,190988.000000,110955.000000
1096.701037,0.255526,191821.000000,106505.000000
1100.390840,0.298671,192263.000000,96655.000000
1104.076481,0.203734,192389.000000,120350.000000
1107.757959,0.258228,192652.000000,106303.000000
1111.435274,0.298232,193082.000000,97165.000000
1115.108427,0.206436,193234.000000,120129.000000
1118.777418,0.255928,193156.000000,107147.000000
1122.442246,0.257303,193177.000000,106820.000000
1126.102912,0.239660,193066.000000,111185.000000
