Method:,Hadamard,,
Host Date-Time:,14/5/18 @ 0:42:9,,
Header Version:,1,,
System Temp hundredths:,2780,,
Detector Temp hundredths:,2479,,
Humidity hundredths:,4844,,
Lamp PD:,3763,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,1.758710,43030.000000,750.000000
904.302718,1.785321,49104.000000,805.000000
908.203423,1.857428,54588.000000,758.000000
912.099965,1.812562,60466.000000,931.000000
917.288880,1.818033,70309.000000,1069.000000
921.175709,1.793311,79901.000000,1286.000000
925.058377,1.769194,92042.000000,1566.000000
928.936881,1.794589,105997.000000,1701.000000
932.811223,1.794782,120445.000000,1932.000000
936.681403,1.806254,134295.000000,2098.000000
940.547420,1.792014,146936.000000,2372.000000
944.409274,1.787446,158823.000000,2591.000000
948.266966,1.781201,170030.000000,2814.000000
952.120496,1.776287,181559.000000,3039.000000
955.969862,1.779355,193315.000000,3213.000000
961.095876,1.780530,209585.000000,3474.000000
964.935531,1.791224,222477.000000,3598.000000
968.771023,1.775447,236125.000000,3960.000000
972.602352,1.775778,249851.000000,4187.000000
976.429518,1.773910,263989.000000,4443.000000
980.252523,1.769448,277934.000000,4726.000000
984.071364,1.771068,291841.000000,4944.000000
987.886043,1.767169,305789.000000,5227.000000
991.696560,1.768612,318311.000000,5423.000000
995.502914,1.777257,329740.000000,5507.000000
999.305106,1.773985,341290.000000,5743.000000
1004.368219,1.764764,354890.000000,6100.000000
1008.160698,1.764776,363394.000000,6246.000000
1011.949015,1.766984,370509.000000,6336.000000
1015.733168,1.780594,376210.000000,6235.000000
1019.513160,1.773710,380746.000000,6411.000000
1023.288989,1.768167,383716.000000,6544.000000
1027.060655,1.770483,385945.000000,6547.000000
1030.828159,1.767889,386987.000000,6604.000000
1034.591500,1.765616,387357.000000,6645.000000
1038.350679,1.762702,387082.000000,6685.000000
1042.105695,1.765180,386153.000000,6631.000000
1047.105908,1.763670,384290.000000,6622.000000
1050.851212,1.766879,383632.000000,6562.000000
1054.592353,1.762638,382162.000000,6601.000000
1058.329331,1.764610,380354.000000,6540.000000
1062.062147,1.763235,379441.000000,6545.000000
1065.790801,1.766506,379389.000000,6495.000000
1069.515292,1.767615,379305.000000,6477.000000
1073.235620,1.764139,378896.000000,6522.000000
1076.951786,1.767115,378810.000000,6476.000000
1080.663789,1.761577,379670.000000,6574.000000
1084.371630,1.765555,380716.000000,6532.000000
1089.308943,1.766073,380820.000000,6526.000000
1093.007071,1.770663,381977.000000,6477.000000
1096.701037,1.769147,383643.000000,6528.000000
1100.390840,1.767295,384527.000000,6571.000000
1104.076481,1.769632,384778.000000,6540.000000
1107.757959,1.771757,385305.000000,6517.000000
1111.435274,1.771461,386165.000000,6536.000000
1115.108427,1.778566,386469.000000,6435.000000
1118.777418,1.770763,386312.000000,6549.000000
1122.442246,1.776217,386355.000000,6468.000000
1126.102912,1.781439,386132.000000,6387.000000
1130.977324,1.778150,385679.000000,6428.000000
1134.628277,1.780472,385756.000000,6395.000000
1138.275067,1.788134,385807.000000,6284.000000
1141.917695,1.797680,385658.000000,6145.000000
1145.556160,1.801449,385664.000000,6092.000000
1149.190463,1.796232,385437.000000,6162.000000
1152.820603,1.806641,385689.000000,6020.000000
1156.446581,1.809894,386265.000000,5984.000000
1160.068396,1.812821,386798.000000,5952.000000
1163.686049,1.813327,387509.000000,5956.000000
1167.299539,1.807951,388654.000000,6048.000000
1172.111051,1.820100,391022.000000,5917.000000
1175.714828,1.816571,393430.000000,6002.000000
1179.314443,1.817071,396114.000000,6036.000000
1182.909896,1.817082,399734.000000,6091.000000
1186.501186,1.813607,403905.000000,6204.000000
1190.088313,1.825107,408860.000000,6116.000000
1193.671278,1.817585,413797.000000,6298.000000
1197.250081,1.814574,419029.000000,6422.000000
1200.824720,1.818644,424028.000000,6438.000000
1204.395198,1.825878,430012.000000,6421.000000
1207.961512,1.829570,436385.000000,6461.000000
1212.710124,1.823904,445395.000000,6681.000000
1216.266726,1.821538,452258.000000,6821.000000
1219.819166,1.810660,459758.000000,7110.000000
1223.367443,1.811757,467469.000000,7211.000000
1226.911558,1.809366,474831.000000,7365.000000
1230.451510,1.807896,482607.000000,7511.000000
1233.987299,1.802964,491324.000000,7734.000000
1237.518926,1.802462,499704.000000,7875.000000
1241.046391,1.800807,508233.000000,8040.000000
1244.569693,1.796964,517164.000000,8254.000000
1248.088832,1.793519,526380.000000,8468.000000
1252.774543,1.791504,538670.000000,8706.000000
1256.283970,1.796588,546641.000000,8732.000000
1259.789234,1.791930,554620.000000,8955.000000
1263.290336,1.792043,561889.000000,9070.000000
1266.787275,1.788422,569265.000000,9266.000000
1270.280052,1.787999,576505.000000,9393.000000
1273.768666,1.787697,586654.000000,9565.000000
1277.253118,1.789984,600665.000000,9742.000000
1280.733407,1.788153,616188.000000,10036.000000
1284.209534,1.783112,630865.000000,10395.000000
1287.681498,1.787868,644193.000000,10499.000000
1292.304308,1.785331,661364.000000,10842.000000
1295.766560,1.782247,672190.000000,11098.000000
1299.224649,1.788133,681608.000000,11102.000000
1302.678575,1.787327,691129.000000,11278.000000
1306.128339,1.787728,699742.000000,11408.000000
1309.573940,1.792568,706901.000000,11397.000000
1313.015379,1.787022,713057.000000,11644.000000
1316.452656,1.790881,719050.000000,11638.000000
1319.885770,1.791529,724085.000000,11702.000000
1323.314721,1.792258,727284.000000,11734.000000
1326.739510,1.794109,729582.000000,11721.000000
1331.299419,1.798638,733015.000000,11654.000000
1334.714496,1.794952,734554.000000,11778.000000
1338.125409,1.799521,734255.000000,11650.000000
1341.532160,1.801923,733637.000000,11576.000000
1344.934749,1.803297,733228.000000,11533.000000
1348.333175,1.805107,731566.000000,11459.000000
1351.727439,1.806061,728185.000000,11381.000000
1355.117540,1.809305,724104.000000,11233.000000
1358.503478,1.814590,719397.000000,11025.000000
1361.885254,1.814333,714733.000000,10960.000000
1365.262867,1.817133,709510.000000,10810.000000
1369.759877,1.822338,701658.000000,10563.000000
1373.127778,1.818664,696538.000000,10575.000000
1376.491516,1.825679,692550.000000,10346.000000
1379.851092,1.829042,689704.000000,10224.000000
1383.206505,1.828605,688337.000000,10214.000000
1386.557756,1.831560,688558.000000,10148.000000
1389.904844,1.833199,688777.000000,10113.000000
1393.247769,1.830776,688197.000000,10161.000000
1396.586533,1.837890,687308.000000,9983.000000
1399.921133,1.839729,686560.000000,9930.000000
1403.251571,1.837494,685924.000000,9972.000000
1407.685680,1.842173,684594.000000,9846.000000
1411.006406,1.847324,684319.000000,9726.000000
1414.322969,1.844162,683964.000000,9792.000000
1417.635369,1.843973,683527.000000,9790.000000
1420.943607,1.847484,682881.000000,9702.000000
1424.247682,1.844585,682743.000000,9765.000000
1427.547595,1.850626,683161.000000,9636.000000
1430.843345,1.851685,683621.000000,9619.000000
1434.134933,1.852443,683320.000000,9598.000000
1437.422358,1.851712,683663.000000,9619.000000
1440.705621,1.849519,683825.000000,9670.000000
1445.076830,1.853611,684018.000000,9582.000000
1448.350380,1.854187,683352.000000,9560.000000
1451.619767,1.852874,682502.000000,9577.000000
1454.884993,1.853579,681254.000000,9544.000000
1458.146055,1.855744,679710.000000,9475.000000
1461.402955,1.853810,677975.000000,9493.000000
1464.655693,1.854173,675825.000000,9455.000000
1467.904268,1.853881,673229.000000,9425.000000
1471.148680,1.856973,670772.000000,9324.000000
1474.388930,1.855010,668536.000000,9335.000000
1477.625017,1.860958,665993.000000,9173.000000
1481.933325,1.857487,662420.000000,9197.000000
1485.159700,1.860731,659694.000000,9091.000000
1488.381912,1.852718,656753.000000,9219.000000
1491.599962,1.860487,653666.000000,9013.000000
1494.813849,1.859997,650104.000000,8974.000000
1498.023574,1.861865,646286.000000,8883.000000
1501.229136,1.857030,642296.000000,8927.000000
1504.430536,1.861330,638297.000000,8784.000000
1507.627773,1.862025,634369.000000,8716.000000
1510.820847,1.866555,629695.000000,8562.000000
1514.009759,1.865069,624905.000000,8526.000000
1518.255167,1.866181,618792.000000,8421.000000
1521.434366,1.858990,614124.000000,8497.000000
1524.609403,1.862719,609213.000000,8357.000000
1527.780278,1.860245,603723.000000,8329.000000
1530.946990,1.860518,598083.000000,8246.000000
1534.109539,1.861782,592334.000000,8143.000000
1537.267926,1.864277,586821.000000,8021.000000
1540.422150,1.867704,580999.000000,7879.000000
1543.572212,1.858981,574577.000000,7950.000000
1546.718111,1.859259,568074.000000,7855.000000
1549.859847,1.859927,561198.000000,7748.000000
1554.042355,1.860963,552592.000000,7611.000000
1557.174379,1.862482,545785.000000,7491.000000
1560.302240,1.869009,538370.000000,7279.000000
1563.425939,1.862565,530951.000000,7286.000000
1566.545476,1.866782,523990.000000,7121.000000
1569.660850,1.864404,516299.000000,7055.000000
1572.772061,1.861507,508722.000000,6998.000000
1575.879110,1.869131,500864.000000,6770.000000
1578.981997,1.860950,492606.000000,6785.000000
1582.080720,1.865042,484517.000000,6611.000000
1585.175282,1.865163,476221.000000,6496.000000
1589.294888,1.871117,465032.000000,6257.000000
1592.379737,1.875216,456162.000000,6080.000000
1595.460423,1.869081,447841.000000,6054.000000
1598.536947,1.870711,439129.000000,5914.000000
1601.609308,1.870258,430512.000000,5804.000000
1604.677507,1.868374,422002.000000,5714.000000
1607.741543,1.870086,412621.000000,5565.000000
1610.801417,1.869862,403367.000000,5443.000000
1613.857128,1.860287,394499.000000,5442.000000
1616.908676,1.863948,385703.000000,5276.000000
1619.956062,1.869952,376470.000000,5079.000000
1624.012768,1.866003,364248.000000,4959.000000
1627.050442,1.861972,355352.000000,4883.000000
1630.083953,1.863540,346485.000000,4744.000000
1633.113301,1.872470,337505.000000,4527.000000
1636.138487,1.869375,328150.000000,4433.000000
1639.159510,1.864222,319159.000000,4363.000000
1642.176371,1.866324,310564.000000,4225.000000
1645.189069,1.870544,300978.000000,4055.000000
1648.197605,1.867270,290614.000000,3945.000000
1651.201978,1.852715,279540.000000,3924.000000
1654.202188,1.852577,267487.000000,3756.000000
1658.195994,1.862557,249293.000000,3421.000000
1661.186492,1.867700,233754.000000,3170.000000
1664.172828,1.861363,216415.000000,2978.000000
1667.155001,1.873627,196450.000000,2628.000000
1670.133011,1.872954,175173.000000,2347.000000
