Method:,Hadamard,,
Host Date-Time:,14/5/18 @ 1:12:52,,
Header Version:,1,,
System Temp hundredths:,3248,,
Detector Temp hundredths:,2979,,
Humidity hundredths:,4246,,
Lamp PD:,3754,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,1.782513,43030.000000,710.000000
904.302718,1.788570,49104.000000,799.000000
908.203423,1.784789,54588.000000,896.000000
912.099965,1.772485,60466.000000,1021.000000
917.288880,1.818847,70309.000000,1067.000000
921.175709,1.782966,79901.000000,1317.000000
925.058377,1.778161,92042.000000,1534.000000
928.936881,1.776585,105997.000000,1773.000000
932.811223,1.825034,120445.000000,1802.000000
936.681403,1.790800,134295.000000,2174.000000
940.547420,1.799400,146936.000000,2332.000000
944.409274,1.786776,158823.000000,2595.000000
948.266966,1.794045,170030.000000,2732.000000
952.120496,1.796620,181559.000000,2900.000000
955.969862,1.768542,193315.000000,3294.000000
961.095876,1.784171,209585.000000,3445.000000
964.935531,1.797546,222477.000000,3546.000000
968.771023,1.782523,236125.000000,3896.000000
972.602352,1.784685,249851.000000,4102.000000
976.429518,1.781801,263989.000000,4363.000000
980.252523,1.777892,277934.000000,4635.000000
984.071364,1.788361,291841.000000,4751.000000
987.886043,1.780671,305789.000000,5067.000000
991.696560,1.778904,318311.000000,5296.000000
995.502914,1.788683,329740.000000,5364.000000
999.305106,1.774212,341290.000000,5740.000000
1004.368219,1.776600,354890.000000,5936.000000
1008.160698,1.780205,363394.000000,6028.000000
1011.949015,1.776968,370509.000000,6192.000000
1015.733168,1.783880,376210.000000,6188.000000
1019.513160,1.783091,380746.000000,6274.000000
1023.288989,1.784669,383716.000000,6300.000000
1027.060655,1.785259,385945.000000,6328.000000
1030.828159,1.785402,386987.000000,6343.000000
1034.591500,1.786914,387357.000000,6327.000000
1038.350679,1.782642,387082.000000,6385.000000
1042.105695,1.782825,386153.000000,6367.000000
1047.105908,1.779975,384290.000000,6378.000000
1050.851212,1.782374,383632.000000,6332.000000
1054.592353,1.780227,382162.000000,6339.000000
1058.329331,1.778853,380354.000000,6329.000000
1062.062147,1.780632,379441.000000,6288.000000
1065.790801,1.784666,379389.000000,6229.000000
1069.515292,1.782900,379305.000000,6253.000000
1073.235620,1.773427,378896.000000,6384.000000
1076.951786,1.781015,378810.000000,6272.000000
1080.663789,1.776291,379670.000000,6355.000000
1084.371630,1.784096,380716.000000,6259.000000
1089.308943,1.782000,380820.000000,6291.000000
1093.007071,1.777353,381977.000000,6378.000000
1096.701037,1.783898,383643.000000,6310.000000
1100.390840,1.783043,384527.000000,6337.000000
1104.076481,1.783464,384778.000000,6335.000000
1107.757959,1.782484,385305.000000,6358.000000
1111.435274,1.786331,386165.000000,6316.000000
1115.108427,1.790818,386469.000000,6256.000000
1118.777418,1.787667,386312.000000,6299.000000
1122.442246,1.784076,386355.000000,6352.000000
1126.102912,1.794274,386132.000000,6201.000000
1130.977324,1.796716,385679.000000,6159.000000
1134.628277,1.782446,385756.000000,6366.000000
1138.275067,1.798910,385807.000000,6130.000000
1141.917695,1.797751,385658.000000,6144.000000
1145.556160,1.794168,385664.000000,6195.000000
1149.190463,1.794754,385437.000000,6183.000000
1152.820603,1.800836,385689.000000,6101.000000
1156.446581,1.802839,386265.000000,6082.000000
1160.068396,1.806591,386798.000000,6038.000000
1163.686049,1.803593,387509.000000,6091.000000
1167.299539,1.805802,388654.000000,6078.000000
1172.111051,1.803255,391022.000000,6151.000000
1175.714828,1.803387,393430.000000,6187.000000
1179.314443,1.801662,396114.000000,6254.000000
1182.909896,1.806030,399734.000000,6248.000000
1186.501186,1.800439,403905.000000,6395.000000
1190.088313,1.807708,408860.000000,6366.000000
1193.671278,1.810133,413797.000000,6407.000000
1197.250081,1.804745,419029.000000,6569.000000
1200.824720,1.803986,424028.000000,6659.000000
1204.395198,1.815783,430012.000000,6572.000000
1207.961512,1.808768,436385.000000,6778.000000
1212.710124,1.814325,445395.000000,6830.000000
1216.266726,1.808431,452258.000000,7030.000000
1219.819166,1.802731,459758.000000,7241.000000
1223.367443,1.813205,467469.000000,7187.000000
1226.911558,1.802696,474831.000000,7479.000000
1230.451510,1.803810,482607.000000,7582.000000
1233.987299,1.799775,491324.000000,7791.000000
1237.518926,1.798346,499704.000000,7950.000000
1241.046391,1.798383,508233.000000,8085.000000
1244.569693,1.790125,517164.000000,8385.000000
1248.088832,1.789232,526380.000000,8552.000000
1252.774543,1.792503,538670.000000,8686.000000
1256.283970,1.796638,546641.000000,8731.000000
1259.789234,1.789464,554620.000000,9006.000000
1263.290336,1.786193,561889.000000,9193.000000
1266.787275,1.791432,569265.000000,9202.000000
1270.280052,1.786061,576505.000000,9435.000000
1273.768666,1.784981,586654.000000,9625.000000
1277.253118,1.787008,600665.000000,9809.000000
1280.733407,1.787331,616188.000000,10055.000000
1284.209534,1.786131,630865.000000,10323.000000
1287.681498,1.788282,644193.000000,10489.000000
1292.304308,1.788104,661364.000000,10773.000000
1295.766560,1.785508,672190.000000,11015.000000
1299.224649,1.789152,681608.000000,11076.000000
1302.678575,1.792362,691129.000000,11148.000000
1306.128339,1.787044,699742.000000,11426.000000
1309.573940,1.790326,706901.000000,11456.000000
1313.015379,1.789453,713057.000000,11579.000000
1316.452656,1.789242,719050.000000,11682.000000
1319.885770,1.792087,724085.000000,11687.000000
1323.314721,1.793036,727284.000000,11713.000000
1326.739510,1.793332,729582.000000,11742.000000
1331.299419,1.796185,733015.000000,11720.000000
1334.714496,1.789711,734554.000000,11921.000000
1338.125409,1.791396,734255.000000,11870.000000
1341.532160,1.796999,733637.000000,11708.000000
1344.934749,1.798839,733228.000000,11652.000000
1348.333175,1.796997,731566.000000,11675.000000
1351.727439,1.801582,728185.000000,11499.000000
1355.117540,1.799141,724104.000000,11499.000000
1358.503478,1.800941,719397.000000,11377.000000
1361.885254,1.799148,714733.000000,11350.000000
1365.262867,1.803956,709510.000000,11143.000000
1369.759877,1.810856,701658.000000,10846.000000
1373.127778,1.806875,696538.000000,10866.000000
1376.491516,1.809528,692550.000000,10738.000000
1379.851092,1.812170,689704.000000,10629.000000
1383.206505,1.815332,688337.000000,10531.000000
1386.557756,1.814277,688558.000000,10560.000000
1389.904844,1.821630,688777.000000,10386.000000
1393.247769,1.816565,688197.000000,10499.000000
1396.586533,1.821917,687308.000000,10357.000000
1399.921133,1.823378,686560.000000,10311.000000
1403.251571,1.819911,685924.000000,10384.000000
1407.685680,1.819696,684594.000000,10369.000000
1411.006406,1.824874,684319.000000,10242.000000
1414.322969,1.828781,683964.000000,10145.000000
1417.635369,1.829575,683527.000000,10120.000000
1420.943607,1.831229,682881.000000,10072.000000
1424.247682,1.830581,682743.000000,10085.000000
1427.547595,1.832357,683161.000000,10050.000000
1430.843345,1.832045,683621.000000,10064.000000
1434.134933,1.831767,683320.000000,10066.000000
1437.422358,1.834451,683663.000000,10009.000000
1440.705621,1.833687,683825.000000,10029.000000
1445.076830,1.831736,684018.000000,10077.000000
1448.350380,1.832651,683352.000000,10046.000000
1451.619767,1.834017,682502.000000,10002.000000
1454.884993,1.837498,681254.000000,9904.000000
1458.146055,1.834326,679710.000000,9954.000000
1461.402955,1.835886,677975.000000,9893.000000
1464.655693,1.834067,675825.000000,9903.000000
1467.904268,1.839559,673229.000000,9741.000000
1471.148680,1.836058,670772.000000,9784.000000
1474.388930,1.837906,668536.000000,9710.000000
1477.625017,1.837684,665993.000000,9678.000000
1481.933325,1.840721,662420.000000,9559.000000
1485.159700,1.841299,659694.000000,9507.000000
1488.381912,1.836899,656753.000000,9561.000000
1491.599962,1.838364,653666.000000,9484.000000
1494.813849,1.839947,650104.000000,9398.000000
1498.023574,1.848103,646286.000000,9169.000000
1501.229136,1.841593,642296.000000,9250.000000
1504.430536,1.839774,638297.000000,9231.000000
1507.627773,1.843683,634369.000000,9092.000000
1510.820847,1.841667,629695.000000,9067.000000
1514.009759,1.844622,624905.000000,8937.000000
1518.255167,1.844847,618792.000000,8845.000000
1521.434366,1.839452,614124.000000,8888.000000
1524.609403,1.842265,609213.000000,8760.000000
1527.780278,1.841468,603723.000000,8697.000000
1530.946990,1.848827,598083.000000,8471.000000
1534.109539,1.839738,592334.000000,8567.000000
1537.267926,1.842936,586821.000000,8425.000000
1540.422150,1.845568,580999.000000,8291.000000
1543.572212,1.840322,574577.000000,8299.000000
1546.718111,1.838162,568074.000000,8246.000000
1549.859847,1.841221,561198.000000,8089.000000
1554.042355,1.839206,552592.000000,8002.000000
1557.174379,1.845150,545785.000000,7796.000000
1560.302240,1.847647,538370.000000,7646.000000
1563.425939,1.837437,530951.000000,7720.000000
1566.545476,1.839768,523990.000000,7578.000000
1569.660850,1.842380,516299.000000,7422.000000
1572.772061,1.841140,508722.000000,7334.000000
1575.879110,1.841724,500864.000000,7211.000000
