Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:19:26,,
Header Version:,1,,
System Temp hundredths:,2928,,
Detector Temp hundredths:,2808,,
Humidity hundredths:,4045,,
Lamp PD:,3696,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.084327,21515.000000,17718.000000
904.302718,0.087258,24552.000000,20083.000000
908.203423,0.073585,27294.000000,23040.000000
912.099965,0.081379,30233.000000,25067.000000
917.288880,0.089989,35154.000000,28575.000000
921.175709,0.095892,39950.000000,32035.000000
925.058377,0.090259,46021.000000,37385.000000
928.936881,0.096720,52998.000000,42417.000000
932.811223,0.094578,60222.000000,48437.000000
936.681403,0.094102,67147.000000,54066.000000
940.547420,0.095732,73468.000000,58934.000000
944.409274,0.095101,79411.000000,63794.000000
948.266966,0.093222,85015.000000,68592.000000
952.120496,0.094044,90779.000000,73104.000000
955.969862,0.095042,96657.000000,77659.000000
961.095876,0.099105,104792.000000,83411.000000
964.935531,0.100214,111238.000000,88316.000000
968.771023,0.104361,118062.000000,92843.000000
972.602352,0.103090,124925.000000,98528.000000
976.429518,0.108257,131994.000000,102872.000000
980.252523,0.105940,138967.000000,108886.000000
984.071364,0.110595,145920.000000,113115.000000
987.886043,0.111075,152894.000000,118390.000000
991.696560,0.108203,159155.000000,124056.000000
995.502914,0.105725,164870.000000,129246.000000
999.305106,0.105339,170645.000000,133892.000000
1004.368219,0.102957,177445.000000,139993.000000
1008.160698,0.101716,181697.000000,143758.000000
1011.949015,0.100450,185254.000000,147000.000000
1015.733168,0.098613,188105.000000,149895.000000
1019.513160,0.097928,190373.000000,151942.000000
1023.288989,0.097979,191858.000000,153109.000000
1027.060655,0.094961,192972.000000,155072.000000
1030.828159,0.094594,193493.000000,155622.000000
1034.591500,0.093719,193678.000000,156085.000000
1038.350679,0.090199,193541.000000,157244.000000
1042.105695,0.088420,193076.000000,157510.000000
1047.105908,0.088751,192145.000000,156631.000000
1050.851212,0.086355,191816.000000,157228.000000
1054.592353,0.085943,191081.000000,156774.000000
1058.329331,0.084083,190177.000000,156702.000000
1062.062147,0.083418,189720.000000,156565.000000
1065.790801,0.082132,189694.000000,157008.000000
1069.515292,0.080947,189652.000000,157402.000000
1073.235620,0.079945,189448.000000,157596.000000
1076.951786,0.079546,189405.000000,157705.000000
1080.663789,0.079038,189835.000000,158248.000000
1084.371630,0.076794,190358.000000,159506.000000
1089.308943,0.073577,190410.000000,160736.000000
1093.007071,0.073840,190988.000000,161126.000000
1096.701037,0.073880,191821.000000,161814.000000
1100.390840,0.072337,192263.000000,162764.000000
1104.076481,0.073923,192389.000000,162277.000000
1107.757959,0.074059,192652.000000,162448.000000
1111.435274,0.072995,193082.000000,163210.000000
1115.108427,0.073454,193234.000000,163166.000000
1118.777418,0.073098,193156.000000,163234.000000
1122.442246,0.073693,193177.000000,163028.000000
1126.102912,0.073145,193066.000000,163140.000000
1130.977324,0.076823,192839.000000,161574.000000
1134.628277,0.078789,192878.000000,160877.000000
1138.275067,0.079848,192903.000000,160506.000000
1141.917695,0.082749,192829.000000,159376.000000
1145.556160,0.084173,192832.000000,158857.000000
1149.190463,0.086004,192718.000000,158095.000000
1152.820603,0.089985,192844.000000,156755.000000
1156.446581,0.093421,193132.000000,155752.000000
1160.068396,0.095498,193399.000000,155223.000000
1163.686049,0.099166,193754.000000,154200.000000
1167.299539,0.101069,194327.000000,153980.000000
1172.111051,0.104735,195511.000000,153616.000000
1175.714828,0.107508,196715.000000,153578.000000
1179.314443,0.109834,198057.000000,153800.000000
1182.909896,0.113249,199867.000000,153990.000000
1186.501186,0.116421,201952.000000,154464.000000
1190.088313,0.120224,204430.000000,154996.000000
1193.671278,0.119384,206898.000000,157171.000000
1197.250081,0.121091,209514.000000,158534.000000
1200.824720,0.123879,212014.000000,159399.000000
1204.395198,0.121570,215006.000000,162510.000000
1207.961512,0.121415,218192.000000,164977.000000
1212.710124,0.121545,222697.000000,168333.000000
1216.266726,0.118432,226129.000000,172157.000000
1219.819166,0.116606,229879.000000,175749.000000
1223.367443,0.114348,233734.000000,179628.000000
1226.911558,0.113665,237415.000000,182744.000000
1230.451510,0.110454,241303.000000,187115.000000
1233.987299,0.109817,245662.000000,190775.000000
1237.518926,0.110004,249852.000000,193945.000000
1241.046391,0.107331,254116.000000,198473.000000
1244.569693,0.106334,258582.000000,202425.000000
1248.088832,0.105158,263190.000000,206591.000000
1252.774543,0.105630,269335.000000,211185.000000
1256.283970,0.106292,273320.000000,213983.000000
1259.789234,0.106554,277310.000000,216976.000000
1263.290336,0.104977,280944.000000,220619.000000
1266.787275,0.104144,284632.000000,223944.000000
1270.280052,0.102447,288252.000000,227680.000000
1273.768666,0.102385,293327.000000,231722.000000
1277.253118,0.100948,300332.000000,238042.000000
1280.733407,0.100150,308094.000000,244643.000000
1284.209534,0.097914,315432.000000,251763.000000
1287.681498,0.096233,322096.000000,258079.000000
1292.304308,0.095948,330682.000000,265132.000000
1295.766560,0.094810,336095.000000,270179.000000
1299.224649,0.093893,340804.000000,274544.000000
1302.678575,0.093961,345564.000000,278335.000000
1306.128339,0.094710,349871.000000,281318.000000
1309.573940,0.095329,353450.000000,283791.000000
1313.015379,0.096077,356528.000000,285770.000000
1316.452656,0.096930,359525.000000,287607.000000
1319.885770,0.099513,362042.000000,287903.000000
1323.314721,0.100593,363642.000000,288457.000000
1326.739510,0.103036,364791.000000,287745.000000
1331.299419,0.105721,366507.000000,287317.000000
1334.714496,0.108265,367277.000000,286239.000000
1338.125409,0.111253,367127.000000,284160.000000
1341.532160,0.114846,366818.000000,281582.000000
1344.934749,0.117762,366614.000000,279542.000000
1348.333175,0.120258,365783.000000,277310.000000
1351.727439,0.125023,364092.000000,273016.000000
1355.117540,0.127702,362052.000000,269817.000000
1358.503478,0.129435,359698.000000,266995.000000
1361.885254,0.132094,357366.000000,263645.000000
1365.262867,0.133197,354755.000000,261055.000000
1369.759877,0.137258,350829.000000,255763.000000
1373.127778,0.139404,348269.000000,252645.000000
1376.491516,0.143058,346275.000000,249094.000000
1379.851092,0.146729,344852.000000,245982.000000
1383.206505,0.152148,344168.000000,242450.000000
1386.557756,0.157406,344279.000000,239610.000000
1389.904844,0.164698,344388.000000,235695.000000
1393.247769,0.171005,344098.000000,232101.000000
1396.586533,0.180988,343654.000000,226534.000000
1399.921133,0.189626,343280.000000,221831.000000
1403.251571,0.200933,342962.000000,215930.000000
1407.685680,0.217829,342297.000000,207288.000000
1411.006406,0.232914,342159.000000,200131.000000
1414.322969,0.246697,341982.000000,193779.000000
