Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:2:37,,
Header Version:,1,,
System Temp hundredths:,2942,,
Detector Temp hundredths:,2812,,
Humidity hundredths:,4050,,
Lamp PD:,3692,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,1.849868,43030.000000,608.000000
904.302718,1.931449,49104.000000,575.000000
908.203423,1.846118,54588.000000,778.000000
912.099965,1.874100,60466.000000,808.000000
917.288880,1.836287,70309.000000,1025.000000
921.175709,1.863138,79901.000000,1095.000000
925.058377,1.888439,92042.000000,1190.000000
928.936881,1.881654,105997.000000,1392.000000
932.811223,1.858853,120445.000000,1667.000000
936.681403,1.897356,134295.000000,1701.000000
940.547420,1.842434,146936.000000,2112.000000
944.409274,1.853583,158823.000000,2225.000000
948.266966,1.854679,170030.000000,2376.000000
952.120496,1.847398,181559.000000,2580.000000
955.969862,1.860731,193315.000000,2664.000000
961.095876,1.879351,209585.000000,2767.000000
964.935531,1.857186,222477.000000,3091.000000
968.771023,1.849656,236125.000000,3338.000000
972.602352,1.844162,249851.000000,3577.000000
976.429518,1.861919,263989.000000,3628.000000
980.252523,1.873749,277934.000000,3717.000000
984.071364,1.850355,291841.000000,4119.000000
987.886043,1.853370,305789.000000,4286.000000
991.696560,1.876409,318311.000000,4231.000000
995.502914,1.856643,329740.000000,4587.000000
999.305106,1.854605,341290.000000,4770.000000
1004.368219,1.861318,354890.000000,4884.000000
1008.160698,1.854258,363394.000000,5083.000000
1011.949015,1.860293,370509.000000,5111.000000
1015.733168,1.854527,376210.000000,5259.000000
