Method:,Hadamard,,
Host Date-Time:,6/5/18 @ 16:51:5,,
Header Version:,1,,
System Temp hundredths:,3165,,
Detector Temp hundredths:,3036,,
Humidity hundredths:,3741,,
Lamp PD:,3750,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,-0.054597,10757.000000,12198.000000
904.302718,-0.025454,12276.000000,13017.000000
908.203423,-0.046349,13647.000000,15184.000000
912.099965,-0.007802,15116.000000,15390.000000
917.288880,-0.014912,17577.000000,18191.000000
921.175709,-0.004434,19975.000000,20180.000000
925.058377,-0.013015,23010.000000,23710.000000
928.936881,-0.006232,26499.000000,26882.000000
932.811223,-0.005760,30111.000000,30513.000000
936.681403,-0.012470,33573.000000,34551.000000
940.547420,-0.005685,36734.000000,37218.000000
944.409274,-0.008363,39705.000000,40477.000000
948.266966,-0.008589,42507.000000,43356.000000
952.120496,-0.009960,45389.000000,46442.000000
955.969862,-0.008049,48328.000000,49232.000000
961.095876,-0.003607,52396.000000,52833.000000
964.935531,-0.005509,55619.000000,56329.000000
968.771023,-0.000213,59031.000000,59060.000000
972.602352,-0.009089,62462.000000,63783.000000
976.429518,0.002170,65997.000000,65668.000000
980.252523,-0.002232,69483.000000,69841.000000
984.071364,0.001216,72960.000000,72756.000000
987.886043,0.008224,76447.000000,75013.000000
991.696560,0.004416,79577.000000,78772.000000
995.502914,0.009599,82435.000000,80633.000000
999.305106,0.006306,85322.000000,84092.000000
1004.368219,0.005497,88722.000000,87606.000000
1008.160698,0.005223,90848.000000,89762.000000
1011.949015,0.000676,92627.000000,92483.000000
1015.733168,0.004362,94052.000000,93112.000000
1019.513160,-0.000036,95186.000000,95194.000000
1023.288989,0.002802,95929.000000,95312.000000
1027.060655,0.000311,96486.000000,96417.000000
1030.828159,-0.002979,96746.000000,97412.000000
1034.591500,-0.000421,96839.000000,96933.000000
1038.350679,-0.003927,96770.000000,97649.000000
1042.105695,-0.001119,96538.000000,96787.000000
1047.105908,-0.002385,96072.000000,96601.000000
1050.851212,-0.000923,95908.000000,96112.000000
1054.592353,-0.005820,95540.000000,96829.000000
1058.329331,-0.004516,95088.000000,96082.000000
1062.062147,-0.004726,94860.000000,95898.000000
1065.790801,-0.008614,94847.000000,96747.000000
1069.515292,-0.006640,94826.000000,96287.000000
1073.235620,-0.008441,94724.000000,96583.000000
1076.951786,-0.010748,94702.000000,97075.000000
1080.663789,-0.008329,94917.000000,96755.000000
1084.371630,-0.011296,95179.000000,97687.000000
1089.308943,-0.010376,95205.000000,97507.000000
1093.007071,-0.011192,95494.000000,97987.000000
1096.701037,-0.009495,95910.000000,98030.000000
1100.390840,-0.008106,96131.000000,97942.000000
1104.076481,-0.010359,96194.000000,98516.000000
1107.757959,-0.005938,96326.000000,97652.000000
1111.435274,-0.007373,96541.000000,98194.000000
1115.108427,-0.010296,96617.000000,98935.000000
1118.777418,-0.008382,96578.000000,98460.000000
1122.442246,-0.009134,96588.000000,98641.000000
1126.102912,-0.011179,96533.000000,99050.000000
1130.977324,-0.008033,96419.000000,98219.000000
1134.628277,-0.009113,96439.000000,98484.000000
1138.275067,-0.006245,96451.000000,97848.000000
1141.917695,-0.004405,96414.000000,97397.000000
1145.556160,-0.001430,96416.000000,96734.000000
1149.190463,-0.003921,96359.000000,97233.000000
1152.820603,0.002965,96422.000000,95766.000000
1156.446581,0.002748,96566.000000,95957.000000
1160.068396,0.005069,96699.000000,95577.000000
1163.686049,0.009605,96877.000000,94758.000000
1167.299539,0.010995,97163.000000,94734.000000
1172.111051,0.018033,97755.000000,93779.000000
1175.714828,0.022500,98357.000000,93391.000000
1179.314443,0.022413,99028.000000,94047.000000
1182.909896,0.029051,99933.000000,93467.000000
1186.501186,0.031793,100976.000000,93848.000000
1190.088313,0.035694,102215.000000,94150.000000
1193.671278,0.035565,103449.000000,95315.000000
1197.250081,0.037121,104757.000000,96175.000000
1200.824720,0.038218,106007.000000,97077.000000
1204.395198,0.039415,107503.000000,98176.000000
