Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:19:41,,
Header Version:,1,,
System Temp hundredths:,2929,,
Detector Temp hundredths:,2813,,
Humidity hundredths:,4040,,
Lamp PD:,3695,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.027757,10757.000000,10091.000000
904.302718,0.032038,12276.000000,11403.000000
908.203423,0.028269,13647.000000,12787.000000
912.099965,0.040093,15116.000000,13783.000000
917.288880,0.053606,17577.000000,15536.000000
921.175709,0.050579,19975.000000,17779.000000
925.058377,0.045254,23010.000000,20733.000000
928.936881,0.049894,26499.000000,23623.000000
932.811223,0.053272,30111.000000,26635.000000
936.681403,0.050116,33573.000000,29914.000000
940.547420,0.048546,36734.000000,32849.000000
944.409274,0.051883,39705.000000,35234.000000
948.266966,0.049970,42507.000000,37887.000000
952.120496,0.053687,45389.000000,40111.000000
955.969862,0.050185,48328.000000,43054.000000
961.095876,0.055673,52396.000000,46092.000000
964.935531,0.057783,55619.000000,48690.000000
968.771023,0.061107,59031.000000,51283.000000
972.602352,0.058216,62462.000000,54626.000000
976.429518,0.061112,65997.000000,57334.000000
980.252523,0.061187,69483.000000,60352.000000
984.071364,0.064939,72960.000000,62827.000000
987.886043,0.063909,76447.000000,65986.000000
991.696560,0.063306,79577.000000,68783.000000
995.502914,0.061599,82435.000000,71534.000000
999.305106,0.061442,85322.000000,74066.000000
1004.368219,0.058142,88722.000000,77605.000000
1008.160698,0.057915,90848.000000,79506.000000
1011.949015,0.055926,92627.000000,81435.000000
1015.733168,0.054688,94052.000000,82924.000000
1019.513160,0.053173,95186.000000,84217.000000
1023.288989,0.052189,95929.000000,85067.000000
1027.060655,0.050815,96486.000000,85832.000000
1030.828159,0.050136,96746.000000,86198.000000
1034.591500,0.047496,96839.000000,86807.000000
1038.350679,0.045718,96770.000000,87101.000000
1042.105695,0.044227,96538.000000,87191.000000
1047.105908,0.044067,96072.000000,86802.000000
1050.851212,0.041936,95908.000000,87080.000000
1054.592353,0.040466,95540.000000,87040.000000
1058.329331,0.039581,95088.000000,86805.000000
1062.062147,0.039741,94860.000000,86565.000000
1065.790801,0.037659,94847.000000,86969.000000
1069.515292,0.034666,94826.000000,87551.000000
