Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:19:56,,
Header Version:,1,,
System Temp hundredths:,2921,,
Detector Temp hundredths:,2888,,
Humidity hundredths:,4045,,
Lamp PD:,3696,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.079161,21515.000000,17930.000000
904.302718,0.084994,24552.000000,20188.000000
908.203423,0.078342,27294.000000,22789.000000
912.099965,0.090536,30233.000000,24544.000000
917.288880,0.100215,35154.000000,27910.000000
921.175709,0.102903,39950.000000,31522.000000
925.058377,0.095553,46021.000000,36932.000000
928.936881,0.098690,52998.000000,42225.000000
932.811223,0.101027,60222.000000,47723.000000
936.681403,0.100071,67147.000000,53328.000000
940.547420,0.096898,73468.000000,58776.000000
944.409274,0.099638,79411.000000,63131.000000
948.266966,0.097523,85015.000000,67916.000000
952.120496,0.099472,90779.000000,72196.000000
955.969862,0.098399,96657.000000,77061.000000
961.095876,0.102146,104792.000000,82829.000000
964.935531,0.104424,111238.000000,87464.000000
968.771023,0.106335,118062.000000,92422.000000
972.602352,0.104334,124925.000000,98246.000000
976.429518,0.106366,131994.000000,103321.000000
980.252523,0.104061,138967.000000,109358.000000
984.071364,0.109226,145920.000000,113472.000000
987.886043,0.108045,152894.000000,119219.000000
991.696560,0.105327,159155.000000,124880.000000
995.502914,0.104054,164870.000000,129744.000000
999.305106,0.102948,170645.000000,134631.000000
1004.368219,0.100458,177445.000000,140801.000000
1008.160698,0.098975,181697.000000,144668.000000
1011.949015,0.096261,185254.000000,148425.000000
1015.733168,0.095982,188105.000000,150806.000000
1019.513160,0.094398,190373.000000,153182.000000
1023.288989,0.093268,191858.000000,154779.000000
1027.060655,0.091085,192972.000000,156462.000000
1030.828159,0.091430,193493.000000,156760.000000
1034.591500,0.088074,193678.000000,158127.000000
1038.350679,0.085627,193541.000000,158908.000000
1042.105695,0.085414,193076.000000,158604.000000
1047.105908,0.085019,192145.000000,157983.000000
1050.851212,0.083805,191816.000000,158154.000000
1054.592353,0.082082,191081.000000,158174.000000
1058.329331,0.081748,190177.000000,157547.000000
1062.062147,0.080871,189720.000000,157486.000000
1065.790801,0.080643,189694.000000,157547.000000
1069.515292,0.077364,189652.000000,158706.000000
1073.235620,0.077439,189448.000000,158508.000000
1076.951786,0.078295,189405.000000,158160.000000
1080.663789,0.075994,189835.000000,159361.000000
1084.371630,0.074499,190358.000000,160351.000000
1089.308943,0.072621,190410.000000,161090.000000
1093.007071,0.073762,190988.000000,161155.000000
1096.701037,0.073698,191821.000000,161882.000000
1100.390840,0.072129,192263.000000,162842.000000
1104.076481,0.073575,192389.000000,162407.000000
1107.757959,0.074621,192652.000000,162238.000000
1111.435274,0.073901,193082.000000,162870.000000
1115.108427,0.074146,193234.000000,162906.000000
1118.777418,0.074358,193156.000000,162761.000000
1122.442246,0.074253,193177.000000,162818.000000
1126.102912,0.074901,193066.000000,162482.000000
1130.977324,0.077762,192839.000000,161225.000000
1134.628277,0.078864,192878.000000,160849.000000
1138.275067,0.081159,192903.000000,160022.000000
1141.917695,0.084478,192829.000000,158743.000000
1145.556160,0.086357,192832.000000,158060.000000
1149.190463,0.088569,192718.000000,157164.000000
1152.820603,0.092831,192844.000000,155731.000000
1156.446581,0.095419,193132.000000,155037.000000
1160.068396,0.098592,193399.000000,154121.000000
1163.686049,0.101986,193754.000000,153202.000000
1167.299539,0.104202,194327.000000,152873.000000
1172.111051,0.106520,195511.000000,152986.000000
1175.714828,0.110704,196715.000000,152452.000000
1179.314443,0.113147,198057.000000,152631.000000
1182.909896,0.114672,199867.000000,153486.000000
1186.501186,0.118538,201952.000000,153713.000000
1190.088313,0.122781,204430.000000,154086.000000
1193.671278,0.123462,206898.000000,155702.000000
1197.250081,0.124537,209514.000000,157281.000000
1200.824720,0.125944,212014.000000,158643.000000
1204.395198,0.125568,215006.000000,161021.000000
1207.961512,0.124554,218192.000000,163789.000000
1212.710124,0.125344,222697.000000,166867.000000
1216.266726,0.122477,226129.000000,170561.000000
1219.819166,0.120668,229879.000000,174113.000000
1223.367443,0.118653,233734.000000,177856.000000
1226.911558,0.116900,237415.000000,181388.000000
1230.451510,0.115130,241303.000000,185111.000000
1233.987299,0.113867,245662.000000,189004.000000
1237.518926,0.113227,249852.000000,192511.000000
1241.046391,0.111563,254116.000000,196548.000000
1244.569693,0.109705,258582.000000,200860.000000
