Method:,Hadamard,,
Host Date-Time:,14/5/18 @ 0:39:10,,
Header Version:,1,,
System Temp hundredths:,2655,,
Detector Temp hundredths:,2382,,
Humidity hundredths:,5115,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,1.763953,43030.000000,741.000000
904.302718,1.785861,49104.000000,804.000000
908.203423,1.811270,54588.000000,843.000000
912.099965,1.794292,60466.000000,971.000000
917.288880,1.781431,70309.000000,1163.000000
921.175709,1.842610,79901.000000,1148.000000
925.058377,1.779011,92042.000000,1531.000000
928.936881,1.799468,105997.000000,1682.000000
932.811223,1.774578,120445.000000,2024.000000
936.681403,1.786032,134295.000000,2198.000000
940.547420,1.804457,146936.000000,2305.000000
944.409274,1.769389,158823.000000,2701.000000
948.266966,1.790719,170030.000000,2753.000000
952.120496,1.783928,181559.000000,2986.000000
955.969862,1.776257,193315.000000,3236.000000
961.095876,1.790137,209585.000000,3398.000000
964.935531,1.775693,222477.000000,3729.000000
968.771023,1.793016,236125.000000,3803.000000
972.602352,1.779842,249851.000000,4148.000000
976.429518,1.773714,263989.000000,4445.000000
980.252523,1.783076,277934.000000,4580.000000
984.071364,1.781019,291841.000000,4832.000000
987.886043,1.775559,305789.000000,5127.000000
991.696560,1.784848,318311.000000,5224.000000
995.502914,1.775054,329740.000000,5535.000000
999.305106,1.780768,341290.000000,5654.000000
1004.368219,1.773175,354890.000000,5983.000000
1008.160698,1.777833,363394.000000,6061.000000
1011.949015,1.779430,370509.000000,6157.000000
1015.733168,1.777609,376210.000000,6278.000000
1019.513160,1.779300,380746.000000,6329.000000
1023.288989,1.780348,383716.000000,6363.000000
1027.060655,1.780481,385945.000000,6398.000000
1030.828159,1.781516,386987.000000,6400.000000
1034.591500,1.774330,387357.000000,6513.000000
1038.350679,1.775358,387082.000000,6493.000000
1042.105695,1.778346,386153.000000,6433.000000
1047.105908,1.772281,384290.000000,6492.000000
1050.851212,1.778958,383632.000000,6382.000000
1054.592353,1.769668,382162.000000,6495.000000
1058.329331,1.778647,380354.000000,6332.000000
1062.062147,1.777261,379441.000000,6337.000000
1065.790801,1.777475,379389.000000,6333.000000
1069.515292,1.776488,379305.000000,6346.000000
1073.235620,1.777459,378896.000000,6325.000000
1076.951786,1.779081,378810.000000,6300.000000
1080.663789,1.770925,379670.000000,6434.000000
1084.371630,1.772120,380716.000000,6434.000000
1089.308943,1.776990,380820.000000,6364.000000
1093.007071,1.776536,381977.000000,6390.000000
1096.701037,1.775041,383643.000000,6440.000000
1100.390840,1.778408,384527.000000,6405.000000
1104.076481,1.781685,384778.000000,6361.000000
1107.757959,1.781802,385305.000000,6368.000000
1111.435274,1.783111,386165.000000,6363.000000
1115.108427,1.781546,386469.000000,6391.000000
1118.777418,1.781233,386312.000000,6393.000000
1122.442246,1.785377,386355.000000,6333.000000
1126.102912,1.785263,386132.000000,6331.000000
1130.977324,1.792226,385679.000000,6223.000000
1134.628277,1.785115,385756.000000,6327.000000
1138.275067,1.786892,385807.000000,6302.000000
1141.917695,1.798034,385658.000000,6140.000000
1145.556160,1.799458,385664.000000,6120.000000
1149.190463,1.795246,385437.000000,6176.000000
1152.820603,1.800552,385689.000000,6105.000000
1156.446581,1.806784,386265.000000,6027.000000
1160.068396,1.798962,386798.000000,6145.000000
1163.686049,1.806024,387509.000000,6057.000000
1167.299539,1.808742,388654.000000,6037.000000
1172.111051,1.815137,391022.000000,5985.000000
1175.714828,1.804160,393430.000000,6176.000000
1179.314443,1.810218,396114.000000,6132.000000
1182.909896,1.806865,399734.000000,6236.000000
1186.501186,1.813397,403905.000000,6207.000000
1190.088313,1.812924,408860.000000,6290.000000
1193.671278,1.803340,413797.000000,6508.000000
1197.250081,1.804679,419029.000000,6570.000000
1200.824720,1.815485,424028.000000,6485.000000
1204.395198,1.815255,430012.000000,6580.000000
1207.961512,1.819143,436385.000000,6618.000000
1212.710124,1.816684,445395.000000,6793.000000
1216.266726,1.813401,452258.000000,6950.000000
1219.819166,1.807677,459758.000000,7159.000000
1223.367443,1.810314,467469.000000,7235.000000
1226.911558,1.805843,474831.000000,7425.000000
1230.451510,1.804785,482607.000000,7565.000000
1233.987299,1.802795,491324.000000,7737.000000
1237.518926,1.802187,499704.000000,7880.000000
1241.046391,1.799943,508233.000000,8056.000000
1244.569693,1.795074,517164.000000,8290.000000
1248.088832,1.795987,526380.000000,8420.000000
1252.774543,1.793855,538670.000000,8659.000000
1256.283970,1.801138,546641.000000,8641.000000
