Method:,Hadamard,,
Host Date-Time:,14/5/18 @ 0:44:49,,
Header Version:,1,,
System Temp hundredths:,2860,,
Detector Temp hundredths:,2552,,
Humidity hundredths:,4654,,
Lamp PD:,3761,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,1.810297,43030.000000,666.000000
904.302718,1.841697,49104.000000,707.000000
908.203423,1.806148,54588.000000,853.000000
912.099965,1.808846,60466.000000,939.000000
917.288880,1.871120,70309.000000,946.000000
921.175709,1.840723,79901.000000,1153.000000
925.058377,1.776183,92042.000000,1541.000000
928.936881,1.827462,105997.000000,1577.000000
932.811223,1.825758,120445.000000,1799.000000
936.681403,1.795823,134295.000000,2149.000000
940.547420,1.807293,146936.000000,2290.000000
944.409274,1.824154,158823.000000,2381.000000
948.266966,1.813885,170030.000000,2610.000000
952.120496,1.809231,181559.000000,2817.000000
955.969862,1.820734,193315.000000,2921.000000
961.095876,1.810279,209585.000000,3244.000000
964.935531,1.800866,222477.000000,3519.000000
968.771023,1.810849,236125.000000,3650.000000
972.602352,1.797144,249851.000000,3986.000000
976.429518,1.808590,263989.000000,4102.000000
980.252523,1.816166,277934.000000,4244.000000
984.071364,1.810970,291841.000000,4510.000000
987.886043,1.809735,305789.000000,4739.000000
991.696560,1.814076,318311.000000,4884.000000
995.502914,1.805354,329740.000000,5162.000000
999.305106,1.808766,341290.000000,5301.000000
1004.368219,1.801518,354890.000000,5605.000000
1008.160698,1.802526,363394.000000,5726.000000
1011.949015,1.802609,370509.000000,5837.000000
1015.733168,1.797424,376210.000000,5998.000000
1019.513160,1.806410,380746.000000,5946.000000
1023.288989,1.801251,383716.000000,6064.000000
1027.060655,1.807506,385945.000000,6012.000000
1030.828159,1.809039,386987.000000,6007.000000
1034.591500,1.806643,387357.000000,6046.000000
1038.350679,1.806119,387082.000000,6049.000000
1042.105695,1.803142,386153.000000,6076.000000
1047.105908,1.804486,384290.000000,6028.000000
