Method:,Hadamard,,
Host Date-Time:,6/5/18 @ 17:2:19,,
Header Version:,1,,
System Temp hundredths:,3130,,
Detector Temp hundredths:,3035,,
Humidity hundredths:,3808,,
Lamp PD:,3753,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,-0.020233,10757.000000,11270.000000
904.302718,-0.014644,12276.000000,12697.000000
908.203423,-0.019265,13647.000000,14266.000000
912.099965,-0.006275,15116.000000,15336.000000
917.288880,0.006773,17577.000000,17305.000000
921.175709,0.008364,19975.000000,19594.000000
925.058377,0.004744,23010.000000,22760.000000
928.936881,0.010366,26499.000000,25874.000000
932.811223,0.013179,30111.000000,29211.000000
936.681403,0.012346,33573.000000,32632.000000
940.547420,0.010676,36734.000000,35842.000000
944.409274,0.013542,39705.000000,38486.000000
948.266966,0.012300,42507.000000,41320.000000
952.120496,0.015566,45389.000000,43791.000000
955.969862,0.013452,48328.000000,46854.000000
961.095876,0.017955,52396.000000,50274.000000
964.935531,0.019802,55619.000000,53140.000000
968.771023,0.023265,59031.000000,55952.000000
972.602352,0.020508,62462.000000,59581.000000
976.429518,0.025315,65997.000000,62260.000000
980.252523,0.025617,69483.000000,65503.000000
984.071364,0.028740,72960.000000,68288.000000
987.886043,0.029699,76447.000000,71394.000000
991.696560,0.030185,79577.000000,74234.000000
995.502914,0.029491,82435.000000,77023.000000
999.305106,0.030541,85322.000000,79528.000000
1004.368219,0.029142,88722.000000,82964.000000
1008.160698,0.030735,90848.000000,84641.000000
1011.949015,0.029666,92627.000000,86511.000000
1015.733168,0.029977,94052.000000,87779.000000
1019.513160,0.029823,95186.000000,88869.000000
1023.288989,0.030530,95929.000000,89417.000000
1027.060655,0.030637,96486.000000,89914.000000
1030.828159,0.030224,96746.000000,90242.000000
1034.591500,0.029896,96839.000000,90397.000000
1038.350679,0.028785,96770.000000,90564.000000
1042.105695,0.028588,96538.000000,90388.000000
1047.105908,0.028427,96072.000000,89985.000000
1050.851212,0.026904,95908.000000,90147.000000
1054.592353,0.025499,95540.000000,90092.000000
1058.329331,0.024903,95088.000000,89789.000000
1062.062147,0.024814,94860.000000,89592.000000
1065.790801,0.023162,94847.000000,89921.000000
1069.515292,0.020807,94826.000000,90390.000000
1073.235620,0.021870,94724.000000,90072.000000
1076.951786,0.020143,94702.000000,90410.000000
1080.663789,0.019105,94917.000000,90832.000000
1084.371630,0.018513,95179.000000,91207.000000
1089.308943,0.015321,95205.000000,91905.000000
1093.007071,0.015966,95494.000000,92047.000000
1096.701037,0.015717,95910.000000,92501.000000
1100.390840,0.014923,96131.000000,92884.000000
1104.076481,0.015202,96194.000000,92885.000000
1107.757959,0.014370,96326.000000,93191.000000
1111.435274,0.013970,96541.000000,93485.000000
1115.108427,0.014000,96617.000000,93552.000000
1118.777418,0.011931,96578.000000,93961.000000
1122.442246,0.011957,96588.000000,93965.000000
1126.102912,0.011100,96533.000000,94097.000000
1130.977324,0.012808,96419.000000,93617.000000
1134.628277,0.012606,96439.000000,93680.000000
1138.275067,0.013625,96451.000000,93472.000000
1141.917695,0.015428,96414.000000,93049.000000
1145.556160,0.017074,96416.000000,92699.000000
1149.190463,0.018051,96359.000000,92436.000000
1152.820603,0.020535,96422.000000,91969.000000
1156.446581,0.023232,96566.000000,91536.000000
1160.068396,0.026930,96699.000000,90885.000000
1163.686049,0.030644,96877.000000,90277.000000
1167.299539,0.033311,97163.000000,89989.000000
1172.111051,0.037235,97755.000000,89723.000000
1175.714828,0.041895,98357.000000,89312.000000
1179.314443,0.043983,99028.000000,89490.000000
1182.909896,0.046602,99933.000000,89765.000000
1186.501186,0.051862,100976.000000,89610.000000
1190.088313,0.056088,102215.000000,89831.000000
1193.671278,0.058423,103449.000000,90428.000000
1197.250081,0.062729,104757.000000,90668.000000
1200.824720,0.066952,106007.000000,90862.000000
1204.395198,0.069146,107503.000000,91680.000000
1207.961512,0.071827,109096.000000,92466.000000
1212.710124,0.074637,111348.000000,93766.000000
1216.266726,0.073995,113064.000000,95352.000000
1219.819166,0.071846,114939.000000,97414.000000
1223.367443,0.071036,116867.000000,99233.000000
1226.911558,0.069944,118707.000000,101049.000000
1230.451510,0.067258,120651.000000,103341.000000
1233.987299,0.067016,122831.000000,105267.000000
1237.518926,0.066957,124926.000000,107077.000000
1241.046391,0.065636,127058.000000,109236.000000
1244.569693,0.064956,129291.000000,111330.000000
1248.088832,0.064546,131595.000000,113421.000000
1252.774543,0.065440,134667.000000,115830.000000
1256.283970,0.066751,136660.000000,117190.000000
1259.789234,0.068485,138655.000000,118427.000000
1263.290336,0.067252,140472.000000,120320.000000
1266.787275,0.067756,142316.000000,121758.000000
1270.280052,0.066777,144126.000000,123585.000000
1273.768666,0.065995,146663.000000,125987.000000
1277.253118,0.063612,150166.000000,129706.000000
1280.733407,0.061727,154047.000000,133637.000000
1284.209534,0.060079,157716.000000,137340.000000
1287.681498,0.057010,161048.000000,141236.000000
1292.304308,0.055960,165341.000000,145352.000000
1295.766560,0.055377,168047.000000,147929.000000
1299.224649,0.053976,170402.000000,150487.000000
1302.678575,0.053742,172782.000000,152671.000000
1306.128339,0.053403,174935.000000,154694.000000
1309.573940,0.053737,176725.000000,156157.000000
1313.015379,0.053381,178264.000000,157646.000000
1316.452656,0.053172,179762.000000,159047.000000
1319.885770,0.054446,181021.000000,159692.000000
1323.314721,0.055264,181821.000000,160096.000000
1326.739510,0.056261,182395.000000,160233.000000
1331.299419,0.058985,183253.000000,159980.000000
1334.714496,0.060573,183638.000000,159731.000000
1338.125409,0.063208,183563.000000,158700.000000
1341.532160,0.065955,183409.000000,157567.000000
1344.934749,0.069896,183307.000000,156057.000000
1348.333175,0.073059,182891.000000,154573.000000
1351.727439,0.078506,182046.000000,151941.000000
1355.117540,0.083047,181026.000000,149518.000000
1358.503478,0.087697,179849.000000,146964.000000
1361.885254,0.091489,178683.000000,144742.000000
1365.262867,0.093722,177377.000000,142947.000000
1369.759877,0.097199,175414.000000,140238.000000
1373.127778,0.098228,174134.000000,138885.000000
1376.491516,0.100416,173137.000000,137396.000000
1379.851092,0.101238,172426.000000,136573.000000
1383.206505,0.102147,172084.000000,136017.000000
1386.557756,0.104200,172139.000000,135419.000000
1389.904844,0.107654,172194.000000,134389.000000
1393.247769,0.110298,172049.000000,133461.000000
1396.586533,0.115492,171827.000000,131704.000000
1399.921133,0.120628,171640.000000,130014.000000
1403.251571,0.127988,171481.000000,127711.000000
1407.685680,0.140202,171148.000000,123928.000000
1411.006406,0.151651,171079.000000,120655.000000
1414.322969,0.162503,170991.000000,117617.000000
1417.635369,0.174241,170881.000000,114407.000000
1420.943607,0.186207,170720.000000,111193.000000
1424.247682,0.197106,170685.000000,108415.000000
1427.547595,0.209465,170790.000000,105438.000000
1430.843345,0.222056,170905.000000,102494.000000
1434.134933,0.230939,170830.000000,100375.000000
1437.422358,0.241904,170915.000000,97921.000000
1440.705621,0.251705,170956.000000,95759.000000
1445.076830,0.263022,171004.000000,93322.000000
1448.350380,0.270736,170838.000000,91590.000000
1451.619767,0.274723,170625.000000,90640.000000
1454.884993,0.280328,170313.000000,89314.000000
1458.146055,0.283584,169927.000000,88446.000000
1461.402955,0.286553,169493.000000,87619.000000
1464.655693,0.291637,168956.000000,86325.000000
1467.904268,0.295601,168307.000000,85212.000000
1471.148680,0.301400,167693.000000,83775.000000
1474.388930,0.305964,167134.000000,82623.000000
1477.625017,0.312367,166498.000000,81104.000000
1481.933325,0.318521,165605.000000,79534.000000
1485.159700,0.321831,164923.000000,78605.000000
1488.381912,0.325289,164188.000000,77634.000000
1491.599962,0.329894,163416.000000,76454.000000
1494.813849,0.331391,162526.000000,75776.000000
1498.023574,0.332117,161571.000000,75205.000000
1501.229136,0.334651,160574.000000,74306.000000
1504.430536,0.335294,159574.000000,73734.000000
1507.627773,0.336816,158592.000000,73024.000000
1510.820847,0.336610,157423.000000,72520.000000
1514.009759,0.337913,156226.000000,71753.000000
1518.255167,0.340858,154698.000000,70571.000000
1521.434366,0.342359,153531.000000,69797.000000
