Method:,Hadamard,,
Host Date-Time:,14/5/18 @ 0:45:36,,
Header Version:,1,,
System Temp hundredths:,2895,,
Detector Temp hundredths:,2566,,
Humidity hundredths:,4598,,
Lamp PD:,3760,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,1.763953,43030.000000,741.000000
904.302718,1.769951,49104.000000,834.000000
908.203423,1.756639,54588.000000,956.000000
912.099965,1.790285,60466.000000,980.000000
917.288880,1.774026,70309.000000,1183.000000
921.175709,1.784618,79901.000000,1312.000000
925.058377,1.766430,92042.000000,1576.000000
928.936881,1.763317,105997.000000,1828.000000
932.811223,1.786984,120445.000000,1967.000000
936.681403,1.779560,134295.000000,2231.000000
940.547420,1.773202,146936.000000,2477.000000
944.409274,1.790980,158823.000000,2570.000000
948.266966,1.785544,170030.000000,2786.000000
952.120496,1.766118,181559.000000,3111.000000
955.969862,1.767357,193315.000000,3303.000000
961.095876,1.780780,209585.000000,3472.000000
964.935531,1.773370,222477.000000,3749.000000
968.771023,1.775776,236125.000000,3957.000000
972.602352,1.784156,249851.000000,4107.000000
976.429518,1.776754,263989.000000,4414.000000
980.252523,1.770460,277934.000000,4715.000000
984.071364,1.775128,291841.000000,4898.000000
987.886043,1.775728,305789.000000,5125.000000
991.696560,1.773039,318311.000000,5368.000000
995.502914,1.768204,329740.000000,5623.000000
999.305106,1.771421,341290.000000,5777.000000
1004.368219,1.770930,354890.000000,6014.000000
1008.160698,1.771503,363394.000000,6150.000000
1011.949015,1.767464,370509.000000,6329.000000
1015.733168,1.775332,376210.000000,6311.000000
1019.513160,1.777315,380746.000000,6358.000000
1023.288989,1.777084,383716.000000,6411.000000
1027.060655,1.776226,385945.000000,6461.000000
1030.828159,1.775117,386987.000000,6495.000000
1034.591500,1.766336,387357.000000,6634.000000
1038.350679,1.771893,387082.000000,6545.000000
1042.105695,1.770319,386153.000000,6553.000000
1047.105908,1.772548,384290.000000,6488.000000
1050.851212,1.774625,383632.000000,6446.000000
1054.592353,1.773564,382162.000000,6437.000000
1058.329331,1.775912,380354.000000,6372.000000
1062.062147,1.771001,379441.000000,6429.000000
1065.790801,1.771753,379389.000000,6417.000000
1069.515292,1.770710,379305.000000,6431.000000
1073.235620,1.767414,378896.000000,6473.000000
1076.951786,1.774282,378810.000000,6370.000000
1080.663789,1.768771,379670.000000,6466.000000
1084.371630,1.774421,380716.000000,6400.000000
1089.308943,1.770689,380820.000000,6457.000000
1093.007071,1.772410,381977.000000,6451.000000
1096.701037,1.771816,383643.000000,6488.000000
1100.390840,1.769881,384527.000000,6532.000000
1104.076481,1.774709,384778.000000,6464.000000
1107.757959,1.777661,385305.000000,6429.000000
1111.435274,1.778900,386165.000000,6425.000000
1115.108427,1.780731,386469.000000,6403.000000
1118.777418,1.776840,386312.000000,6458.000000
1122.442246,1.780061,386355.000000,6411.000000
1126.102912,1.775630,386132.000000,6473.000000
1130.977324,1.785578,385679.000000,6319.000000
1134.628277,1.781696,385756.000000,6377.000000
1138.275067,1.781549,385807.000000,6380.000000
1141.917695,1.789697,385658.000000,6259.000000
1145.556160,1.785698,385664.000000,6317.000000
1149.190463,1.782565,385437.000000,6359.000000
1152.820603,1.791331,385689.000000,6236.000000
1156.446581,1.792886,386265.000000,6223.000000
1160.068396,1.793415,386798.000000,6224.000000
1163.686049,1.789700,387509.000000,6289.000000
1167.299539,1.785219,388654.000000,6373.000000
1172.111051,1.796252,391022.000000,6251.000000
1175.714828,1.786859,393430.000000,6427.000000
1179.314443,1.788463,396114.000000,6447.000000
1182.909896,1.790733,399734.000000,6472.000000
1186.501186,1.793032,403905.000000,6505.000000
1190.088313,1.794605,408860.000000,6561.000000
1193.671278,1.793509,413797.000000,6657.000000
1197.250081,1.793713,419029.000000,6738.000000
1200.824720,1.796037,424028.000000,6782.000000
1204.395198,1.800397,430012.000000,6809.000000
1207.961512,1.793842,436385.000000,7015.000000
1212.710124,1.794986,445395.000000,7141.000000
1216.266726,1.800109,452258.000000,7166.000000
1219.819166,1.791833,459758.000000,7425.000000
1223.367443,1.793016,467469.000000,7529.000000
1226.911558,1.796870,474831.000000,7580.000000
1230.451510,1.793173,482607.000000,7770.000000
1233.987299,1.793301,491324.000000,7908.000000
1237.518926,1.788729,499704.000000,8128.000000
1241.046391,1.791244,508233.000000,8219.000000
1244.569693,1.788832,517164.000000,8410.000000
1248.088832,1.786448,526380.000000,8607.000000
1252.774543,1.786593,538670.000000,8805.000000
1256.283970,1.793713,546641.000000,8790.000000
1259.789234,1.790332,554620.000000,8988.000000
1263.290336,1.784590,561889.000000,9227.000000
1266.787275,1.783436,569265.000000,9373.000000
1270.280052,1.784453,576505.000000,9470.000000
1273.768666,1.789107,586654.000000,9534.000000
1277.253118,1.784491,600665.000000,9866.000000
1280.733407,1.784919,616188.000000,10111.000000
1284.209534,1.783070,630865.000000,10396.000000
1287.681498,1.788489,644193.000000,10484.000000
1292.304308,1.786053,661364.000000,10824.000000
1295.766560,1.785823,672190.000000,11007.000000
1299.224649,1.789583,681608.000000,11065.000000
1302.678575,1.788484,691129.000000,11248.000000
1306.128339,1.788834,699742.000000,11379.000000
1309.573940,1.791312,706901.000000,11430.000000
