Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 1:39:1,,
Header Version:,1,,
System Temp hundredths:,2847,,
Detector Temp hundredths:,2692,,
Humidity hundredths:,4249,,
Lamp PD:,3695,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.260124,21515.000000,11820.000000
904.302718,0.266105,24552.000000,13304.000000
908.203423,0.244560,27294.000000,15542.000000
912.099965,0.266831,30233.000000,16355.000000
917.288880,0.271517,35154.000000,18813.000000
921.175709,0.279525,39950.000000,20989.000000
925.058377,0.257319,46021.000000,25447.000000
928.936881,0.273887,52998.000000,28208.000000
932.811223,0.267565,60222.000000,32523.000000
936.681403,0.264722,67147.000000,36501.000000
940.547420,0.269952,73468.000000,39459.000000
944.409274,0.265726,79411.000000,43068.000000
948.266966,0.270512,85015.000000,45602.000000
952.120496,0.264320,90779.000000,49393.000000
955.969862,0.270284,96657.000000,51874.000000
961.095876,0.270175,104792.000000,56254.000000
964.935531,0.268928,111238.000000,59886.000000
968.771023,0.273881,118062.000000,62839.000000
972.602352,0.266677,124925.000000,67604.000000
976.429518,0.273105,131994.000000,70380.000000
980.252523,0.265414,138967.000000,75422.000000
984.071364,0.270791,145920.000000,78221.000000
987.886043,0.273713,152894.000000,81410.000000
991.696560,0.266736,159155.000000,86116.000000
995.502914,0.267747,164870.000000,89001.000000
999.305106,0.267297,170645.000000,92214.000000
1004.368219,0.266598,177445.000000,96043.000000
1008.160698,0.263734,181697.000000,98995.000000
1011.949015,0.264273,185254.000000,100808.000000
1015.733168,0.264470,188105.000000,102313.000000
1019.513160,0.260946,190373.000000,104390.000000
1023.288989,0.263984,191858.000000,104471.000000
1027.060655,0.260033,192972.000000,106038.000000
1030.828159,0.259536,193493.000000,106446.000000
1034.591500,0.261062,193678.000000,106174.000000
1038.350679,0.255207,193541.000000,107539.000000
1042.105695,0.255315,193076.000000,107254.000000
1047.105908,0.257129,192145.000000,106292.000000
1050.851212,0.255144,191816.000000,106596.000000
1054.592353,0.254080,191081.000000,106448.000000
1058.329331,0.251531,190177.000000,106568.000000
1062.062147,0.251747,189720.000000,106259.000000
1065.790801,0.248536,189694.000000,107033.000000
1069.515292,0.249472,189652.000000,106779.000000
1073.235620,0.245807,189448.000000,107568.000000
1076.951786,0.245555,189405.000000,107606.000000
1080.663789,0.247045,189835.000000,107481.000000
1084.371630,0.241647,190358.000000,109125.000000
1089.308943,0.242044,190410.000000,109055.000000
1093.007071,0.241414,190988.000000,109545.000000
1096.701037,0.242531,191821.000000,109740.000000
1100.390840,0.239368,192263.000000,110797.000000
1104.076481,0.240873,192389.000000,110486.000000
1107.757959,0.242127,192652.000000,110318.000000
1111.435274,0.240082,193082.000000,111086.000000
1115.108427,0.240084,193234.000000,111173.000000
1118.777418,0.241004,193156.000000,110893.000000
1122.442246,0.239300,193177.000000,111341.000000
1126.102912,0.238938,193066.000000,111370.000000
1130.977324,0.241542,192839.000000,110574.000000
1134.628277,0.241736,192878.000000,110547.000000
1138.275067,0.241603,192903.000000,110595.000000
1141.917695,0.244009,192829.000000,109942.000000
1145.556160,0.246547,192832.000000,109303.000000
1149.190463,0.245619,192718.000000,109472.000000
1152.820603,0.252269,192844.000000,107879.000000
1156.446581,0.254175,193132.000000,107567.000000
1160.068396,0.255260,193399.000000,107447.000000
1163.686049,0.261257,193754.000000,106168.000000
1167.299539,0.260613,194327.000000,106640.000000
1172.111051,0.266222,195511.000000,105913.000000
1175.714828,0.267852,196715.000000,106166.000000
1179.314443,0.268504,198057.000000,106730.000000
1182.909896,0.272337,199867.000000,106759.000000
1186.501186,0.271981,201952.000000,107961.000000
1190.088313,0.277423,204430.000000,107925.000000
1193.671278,0.274751,206898.000000,109902.000000
1197.250081,0.277505,209514.000000,110588.000000
1200.824720,0.278794,212014.000000,111576.000000
1204.395198,0.276488,215006.000000,113753.000000
1207.961512,0.276810,218192.000000,115353.000000
1212.710124,0.279336,222697.000000,117052.000000
1216.266726,0.274141,226129.000000,120286.000000
1219.819166,0.275296,229879.000000,121956.000000
1223.367443,0.271086,233734.000000,125209.000000
1226.911558,0.270786,237415.000000,127269.000000
1230.451510,0.268987,241303.000000,129890.000000
1233.987299,0.265687,245662.000000,133245.000000
1237.518926,0.267307,249852.000000,135013.000000
1241.046391,0.264477,254116.000000,138215.000000
1244.569693,0.263324,258582.000000,141018.000000
1248.088832,0.262381,263190.000000,143843.000000
1252.774543,0.262721,269335.000000,147086.000000
1256.283970,0.264051,273320.000000,148806.000000
1259.789234,0.262756,277310.000000,151429.000000
1263.290336,0.264226,280944.000000,152895.000000
1266.787275,0.263012,284632.000000,155336.000000
1270.280052,0.259973,288252.000000,158416.000000
1273.768666,0.262213,293327.000000,160376.000000
1277.253118,0.257970,300332.000000,165818.000000
1280.733407,0.259188,308094.000000,169627.000000
1284.209534,0.255448,315432.000000,175169.000000
1287.681498,0.254764,322096.000000,179152.000000
1292.304308,0.256196,330682.000000,183322.000000
1295.766560,0.254432,336095.000000,187081.000000
1299.224649,0.255099,340804.000000,189411.000000
1302.678575,0.255802,345564.000000,191746.000000
1306.128339,0.257364,349871.000000,193439.000000
1309.573940,0.257537,353450.000000,195340.000000
1313.015379,0.258342,356528.000000,196676.000000
1316.452656,0.260021,359525.000000,197564.000000
1319.885770,0.261005,362042.000000,198497.000000
1323.314721,0.262317,363642.000000,198773.000000
1326.739510,0.264557,364791.000000,198375.000000
1331.299419,0.266191,366507.000000,198560.000000
1334.714496,0.268478,367277.000000,197932.000000
1338.125409,0.272556,367127.000000,196002.000000
1341.532160,0.274752,366818.000000,194849.000000
1344.934749,0.277292,366614.000000,193605.000000
1348.333175,0.280411,365783.000000,191784.000000
1351.727439,0.284467,364092.000000,189123.000000
1355.117540,0.288423,362052.000000,186358.000000
1358.503478,0.289476,359698.000000,184698.000000
1361.885254,0.293907,357366.000000,181638.000000
1365.262867,0.294779,354755.000000,179949.000000
1369.759877,0.299013,350829.000000,176231.000000
1373.127778,0.301520,348269.000000,173938.000000
1376.491516,0.304853,346275.000000,171620.000000
1379.851092,0.309040,344852.000000,169275.000000
1383.206505,0.313420,344168.000000,167244.000000
1386.557756,0.319406,344279.000000,165008.000000
1389.904844,0.326507,344388.000000,162383.000000
1393.247769,0.332592,344098.000000,159989.000000
1396.586533,0.344344,343654.000000,155517.000000
1399.921133,0.352438,343280.000000,152479.000000
1403.251571,0.364770,342962.000000,148073.000000
1407.685680,0.381360,342297.000000,142247.000000
1411.006406,0.398841,342159.000000,136580.000000
1414.322969,0.413406,341982.000000,132007.000000
1417.635369,0.425289,341763.000000,128362.000000
1420.943607,0.441440,341440.000000,123559.000000
1424.247682,0.450825,341371.000000,120893.000000
1427.547595,0.464146,341580.000000,117313.000000
1430.843345,0.473571,341810.000000,114872.000000
1434.134933,0.479119,341660.000000,113364.000000
1437.422358,0.488864,341831.000000,110904.000000
1440.705621,0.491957,341912.000000,110143.000000
1445.076830,0.500702,342009.000000,107978.000000
1448.350380,0.506191,341676.000000,106518.000000
1451.619767,0.509999,341251.000000,105457.000000
1454.884993,0.514245,340627.000000,104240.000000
1458.146055,0.518794,339855.000000,102920.000000
1461.402955,0.517624,338987.000000,102934.000000
1464.655693,0.523851,337912.000000,101147.000000
1467.904268,0.526234,336614.000000,100207.000000
1471.148680,0.529406,335386.000000,99115.000000
1474.388930,0.530760,334268.000000,98477.000000
1477.625017,0.533541,332996.000000,97476.000000
1481.933325,0.538987,331210.000000,95745.000000
1485.159700,0.539092,329847.000000,95328.000000
1488.381912,0.541280,328376.000000,94426.000000
1491.599962,0.541970,326833.000000,93833.000000
1494.813849,0.544063,325052.000000,92873.000000
1498.023574,0.539588,323143.000000,93284.000000
1501.229136,0.538722,321148.000000,92893.000000
1504.430536,0.536468,319148.000000,92795.000000
1507.627773,0.531863,317184.000000,93207.000000
