Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:27:13,,
Header Version:,1,,
System Temp hundredths:,2867,,
Detector Temp hundredths:,2760,,
Humidity hundredths:,4153,,
Lamp PD:,3692,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1365.262867,0.349669,354755.000000,158584.000000
1369.759877,0.354011,350829.000000,155269.000000
1373.127778,0.355351,348269.000000,153661.000000
1376.491516,0.358587,346275.000000,151647.000000
1379.851092,0.361102,344852.000000,150152.000000
1383.206505,0.364828,344168.000000,148574.000000
1386.557756,0.371031,344279.000000,146514.000000
1389.904844,0.379078,344388.000000,143870.000000
1393.247769,0.385459,344098.000000,141652.000000
1396.586533,0.395365,343654.000000,138279.000000
1399.921133,0.404804,343280.000000,135159.000000
1403.251571,0.416251,342962.000000,131521.000000
1407.685680,0.433688,342297.000000,126100.000000
1411.006406,0.448805,342159.000000,121737.000000
1414.322969,0.462548,341982.000000,117884.000000
1417.635369,0.475652,341763.000000,114307.000000
1420.943607,0.488265,341440.000000,110930.000000
1424.247682,0.498843,341371.000000,108239.000000
1427.547595,0.509734,341580.000000,105623.000000
1430.843345,0.519407,341810.000000,103366.000000
1434.134933,0.524926,341660.000000,102016.000000
1437.422358,0.530497,341831.000000,100766.000000
1440.705621,0.534675,341912.000000,99825.000000
1445.076830,0.540632,342009.000000,98493.000000
1448.350380,0.543729,341676.000000,97698.000000
1451.619767,0.543985,341251.000000,97519.000000
1454.884993,0.547270,340627.000000,96607.000000
1458.146055,0.548453,339855.000000,96126.000000
1461.402955,0.547943,338987.000000,95993.000000
1464.655693,0.549428,337912.000000,95362.000000
1467.904268,0.548085,336614.000000,95290.000000
1471.148680,0.547565,335386.000000,95056.000000
1474.388930,0.544852,334268.000000,95333.000000
1477.625017,0.545759,332996.000000,94772.000000
1481.933325,0.543955,331210.000000,94656.000000
1485.159700,0.540424,329847.000000,95036.000000
1488.381912,0.539980,328376.000000,94709.000000
1491.599962,0.539787,326833.000000,94306.000000
1494.813849,0.536636,325052.000000,94475.000000
1498.023574,0.533903,323143.000000,94513.000000
1501.229136,0.532502,321148.000000,94233.000000
1504.430536,0.531216,319148.000000,93924.000000
1507.627773,0.530161,317184.000000,93573.000000
1510.820847,0.527339,314847.000000,93489.000000
1514.009759,0.524650,312452.000000,93354.000000
1518.255167,0.522906,309396.000000,92813.000000
1521.434366,0.521127,307062.000000,92491.000000
1524.609403,0.520598,304606.000000,91863.000000
1527.780278,0.518101,301861.000000,91560.000000
1530.946990,0.518555,299041.000000,90610.000000
1534.109539,0.516831,296167.000000,90096.000000
1537.267926,0.517943,293410.000000,89029.000000
1540.422150,0.517410,290499.000000,88254.000000
1543.572212,0.514200,287288.000000,87926.000000
1546.718111,0.513995,284037.000000,86972.000000
1549.859847,0.513593,280599.000000,85999.000000
1554.042355,0.513148,276296.000000,84767.000000
1557.174379,0.512742,272892.000000,83801.000000
1560.302240,0.511250,269185.000000,82947.000000
1563.425939,0.508249,265475.000000,82371.000000
1566.545476,0.506268,261995.000000,81663.000000
1569.660850,0.504464,258149.000000,80799.000000
1572.772061,0.501834,254361.000000,80097.000000
1575.879110,0.499449,250432.000000,79294.000000
1578.981997,0.493441,246303.000000,79073.000000
1582.080720,0.493561,242258.000000,77753.000000
1585.175282,0.488458,238110.000000,77325.000000
1589.294888,0.482150,232516.000000,76613.000000
1592.379737,0.476453,228081.000000,76144.000000
1595.460423,0.471675,223920.000000,75582.000000
1598.536947,0.465465,219564.000000,75179.000000
1601.609308,0.465229,215256.000000,73744.000000
1604.677507,0.457566,211001.000000,73573.000000
1607.741543,0.451751,206310.000000,72907.000000
1610.801417,0.447283,201683.000000,72009.000000
1613.857128,0.439890,197249.000000,71635.000000
1616.908676,0.435029,192851.000000,70826.000000
1619.956062,0.430602,188235.000000,69839.000000
1624.012768,0.423613,182124.000000,68668.000000
1627.050442,0.418239,177676.000000,67825.000000
1630.083953,0.415525,173242.000000,66547.000000
1633.113301,0.407731,168752.000000,65996.000000
1636.138487,0.404702,164075.000000,64616.000000
1639.159510,0.397421,159579.000000,63908.000000
1642.176371,0.394304,155282.000000,62635.000000
1645.189069,0.389004,150489.000000,61447.000000
1648.197605,0.383231,145307.000000,60125.000000
1651.201978,0.377924,139770.000000,58545.000000
1654.202188,0.370945,133743.000000,56928.000000
1658.195994,0.369000,124646.000000,53294.000000
1661.186492,0.362910,116877.000000,50678.000000
1664.172828,0.360857,108207.000000,47141.000000
1667.155001,0.358865,98225.000000,42989.000000
1670.133011,0.357674,87586.000000,38438.000000
1673.106859,0.358216,76523.000000,33541.000000
1676.076545,0.352949,65807.000000,29196.000000
1679.042067,0.352740,56106.000000,24904.000000
1682.003428,0.358953,47549.000000,20806.000000
1684.960626,0.367657,40253.000000,17264.000000
1687.913661,0.368881,34147.000000,14604.000000
1691.844566,0.376667,27628.000000,11606.000000
1694.787889,0.369166,23643.000000,10105.000000
1697.727049,0.367162,20404.000000,8761.000000
1700.662047,0.363364,17606.000000,7626.000000
