Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:12:6,,
Header Version:,1,,
System Temp hundredths:,2957,,
Detector Temp hundredths:,2808,,
Humidity hundredths:,4013,,
Lamp PD:,3694,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.233544,21515.000000,12566.000000
904.302718,0.242040,24552.000000,14062.000000
908.203423,0.232056,27294.000000,15996.000000
912.099965,0.245079,30233.000000,17195.000000
917.288880,0.255473,35154.000000,19521.000000
921.175709,0.256359,39950.000000,22139.000000
925.058377,0.248050,46021.000000,25996.000000
928.936881,0.251679,52998.000000,29688.000000
932.811223,0.252770,60222.000000,33650.000000
936.681403,0.251504,67147.000000,37629.000000
940.547420,0.248584,73468.000000,41449.000000
944.409274,0.249777,79411.000000,44679.000000
948.266966,0.248942,85015.000000,47924.000000
952.120496,0.249080,90779.000000,51157.000000
955.969862,0.247032,96657.000000,54727.000000
961.095876,0.249506,104792.000000,58996.000000
964.935531,0.249984,111238.000000,62556.000000
968.771023,0.251889,118062.000000,66103.000000
972.602352,0.246426,124925.000000,70831.000000
976.429518,0.248019,131994.000000,74565.000000
980.252523,0.245114,138967.000000,79031.000000
984.071364,0.247629,145920.000000,82506.000000
987.886043,0.245096,152894.000000,86955.000000
991.696560,0.242097,159155.000000,91143.000000
995.502914,0.239528,164870.000000,94976.000000
999.305106,0.237464,170645.000000,98771.000000
1004.368219,0.234048,177445.000000,103518.000000
1008.160698,0.232337,181697.000000,106417.000000
1011.949015,0.229979,185254.000000,109091.000000
1015.733168,0.229109,188105.000000,110992.000000
1019.513160,0.227890,190373.000000,112646.000000
1023.288989,0.226910,191858.000000,113781.000000
1027.060655,0.225428,192972.000000,114833.000000
1030.828159,0.224734,193493.000000,115327.000000
1034.591500,0.222596,193678.000000,116007.000000
1038.350679,0.220641,193541.000000,116448.000000
1042.105695,0.220627,193076.000000,116172.000000
1047.105908,0.220754,192145.000000,115578.000000
1050.851212,0.219128,191816.000000,115813.000000
1054.592353,0.218177,191081.000000,115622.000000
1058.329331,0.217702,190177.000000,115201.000000
1062.062147,0.217532,189720.000000,114969.000000
