Method:,Hadamard,,
Host Date-Time:,14/5/18 @ 1:14:15,,
Header Version:,1,,
System Temp hundredths:,3280,,
Detector Temp hundredths:,2977,,
Humidity hundredths:,4086,,
Lamp PD:,3753,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,1.794293,43030.000000,691.000000
904.302718,1.760677,49104.000000,852.000000
908.203423,1.762125,54588.000000,944.000000
912.099965,1.796534,60466.000000,966.000000
917.288880,1.783678,70309.000000,1157.000000
921.175709,1.801493,79901.000000,1262.000000
925.058377,1.813844,92042.000000,1413.000000
928.936881,1.821445,105997.000000,1599.000000
932.811223,1.836017,120445.000000,1757.000000
936.681403,1.804189,134295.000000,2108.000000
940.547420,1.789640,146936.000000,2385.000000
944.409274,1.804714,158823.000000,2490.000000
948.266966,1.794363,170030.000000,2730.000000
952.120496,1.809385,181559.000000,2816.000000
955.969862,1.790582,193315.000000,3131.000000
961.095876,1.800484,209585.000000,3318.000000
964.935531,1.777677,222477.000000,3712.000000
968.771023,1.805645,236125.000000,3694.000000
972.602352,1.790763,249851.000000,4045.000000
976.429518,1.798750,263989.000000,4196.000000
980.252523,1.786121,277934.000000,4548.000000
984.071364,1.796947,291841.000000,4658.000000
987.886043,1.793457,305789.000000,4920.000000
991.696560,1.789277,318311.000000,5171.000000
995.502914,1.787470,329740.000000,5379.000000
999.305106,1.786100,341290.000000,5585.000000
1004.368219,1.788918,354890.000000,5770.000000
1008.160698,1.790853,363394.000000,5882.000000
1011.949015,1.790069,370509.000000,6008.000000
1015.733168,1.781361,376210.000000,6224.000000
1019.513160,1.790491,380746.000000,6168.000000
1023.288989,1.791898,383716.000000,6196.000000
1027.060655,1.789812,385945.000000,6262.000000
1030.828159,1.790637,386987.000000,6267.000000
1034.591500,1.792092,387357.000000,6252.000000
1038.350679,1.791229,387082.000000,6260.000000
1042.105695,1.785562,386153.000000,6327.000000
1047.105908,1.792197,384290.000000,6201.000000
1050.851212,1.786855,383632.000000,6267.000000
1054.592353,1.790276,382162.000000,6194.000000
1058.329331,1.787166,380354.000000,6209.000000
1062.062147,1.790622,379441.000000,6145.000000
1065.790801,1.782094,379389.000000,6266.000000
1069.515292,1.787158,379305.000000,6192.000000
1073.235620,1.794331,378896.000000,6084.000000
1076.951786,1.789476,378810.000000,6151.000000
1080.663789,1.796647,379670.000000,6064.000000
1084.371630,1.787370,380716.000000,6212.000000
1089.308943,1.786790,380820.000000,6222.000000
1093.007071,1.790557,381977.000000,6187.000000
1096.701037,1.793713,383643.000000,6169.000000
1100.390840,1.795064,384527.000000,6164.000000
1104.076481,1.800522,384778.000000,6091.000000
1107.757959,1.795872,385305.000000,6165.000000
1111.435274,1.790893,386165.000000,6250.000000
1115.108427,1.806437,386469.000000,6035.000000
1118.777418,1.801395,386312.000000,6103.000000
1122.442246,1.800164,386355.000000,6121.000000
1126.102912,1.801833,386132.000000,6094.000000
1130.977324,1.810470,385679.000000,5967.000000
1134.628277,1.808089,385756.000000,6001.000000
1138.275067,1.810105,385807.000000,5974.000000
1141.917695,1.802227,385658.000000,6081.000000
1145.556160,1.805100,385664.000000,6041.000000
1149.190463,1.806790,385437.000000,6014.000000
1152.820603,1.809173,385689.000000,5985.000000
1156.446581,1.808445,386265.000000,6004.000000
1160.068396,1.812748,386798.000000,5953.000000
1163.686049,1.813619,387509.000000,5952.000000
1167.299539,1.812644,388654.000000,5983.000000
1172.111051,1.817757,391022.000000,5949.000000
1175.714828,1.803598,393430.000000,6184.000000
1179.314443,1.807043,396114.000000,6177.000000
1182.909896,1.811556,399734.000000,6169.000000
1186.501186,1.813888,403905.000000,6200.000000
1190.088313,1.812717,408860.000000,6293.000000
1193.671278,1.809388,413797.000000,6418.000000
1197.250081,1.808596,419029.000000,6511.000000
1200.824720,1.814414,424028.000000,6501.000000
1204.395198,1.806952,430012.000000,6707.000000
1207.961512,1.811597,436385.000000,6734.000000
1212.710124,1.812231,445395.000000,6863.000000
1216.266726,1.809111,452258.000000,7019.000000
1219.819166,1.812373,459758.000000,7082.000000
1223.367443,1.805717,467469.000000,7312.000000
1226.911558,1.809779,474831.000000,7358.000000
1230.451510,1.800443,482607.000000,7641.000000
1233.987299,1.800835,491324.000000,7772.000000
1237.518926,1.803788,499704.000000,7851.000000
1241.046391,1.806133,508233.000000,7942.000000
1244.569693,1.803965,517164.000000,8122.000000
1248.088832,1.797796,526380.000000,8385.000000
1252.774543,1.800934,538670.000000,8519.000000
1256.283970,1.798533,546641.000000,8693.000000
1259.789234,1.797642,554620.000000,8838.000000
1263.290336,1.799091,561889.000000,8924.000000
1266.787275,1.799771,569265.000000,9027.000000
1270.280052,1.798765,576505.000000,9163.000000
1273.768666,1.799852,586654.000000,9301.000000
1277.253118,1.798629,600665.000000,9550.000000
1280.733407,1.798620,616188.000000,9797.000000
1284.209534,1.797338,630865.000000,10060.000000
1287.681498,1.798123,644193.000000,10254.000000
1292.304308,1.799417,661364.000000,10496.000000
