Method:,Hadamard,,
Host Date-Time:,14/5/18 @ 1:13:30,,
Header Version:,1,,
System Temp hundredths:,3264,,
Detector Temp hundredths:,2984,,
Humidity hundredths:,4144,,
Lamp PD:,3754,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,1.796183,43030.000000,688.000000
904.302718,1.836811,49104.000000,715.000000
908.203423,1.835094,54588.000000,798.000000
912.099965,1.880598,60466.000000,796.000000
917.288880,1.795087,70309.000000,1127.000000
921.175709,1.820126,79901.000000,1209.000000
925.058377,1.819101,92042.000000,1396.000000
928.936881,1.805447,105997.000000,1659.000000
932.811223,1.810343,120445.000000,1864.000000
936.681403,1.815248,134295.000000,2055.000000
940.547420,1.788730,146936.000000,2390.000000
944.409274,1.789294,158823.000000,2580.000000
948.266966,1.793409,170030.000000,2736.000000
952.120496,1.794230,181559.000000,2916.000000
955.969862,1.785206,193315.000000,3170.000000
961.095876,1.798134,209585.000000,3336.000000
964.935531,1.808335,222477.000000,3459.000000
968.771023,1.792103,236125.000000,3811.000000
972.602352,1.786702,249851.000000,4083.000000
976.429518,1.789939,263989.000000,4282.000000
980.252523,1.782792,277934.000000,4583.000000
984.071364,1.797227,291841.000000,4655.000000
987.886043,1.793987,305789.000000,4914.000000
991.696560,1.793667,318311.000000,5119.000000
995.502914,1.790224,329740.000000,5345.000000
999.305106,1.789065,341290.000000,5547.000000
1004.368219,1.784202,354890.000000,5833.000000
1008.160698,1.784549,363394.000000,5968.000000
1011.949015,1.784752,370509.000000,6082.000000
1015.733168,1.800549,376210.000000,5955.000000
1019.513160,1.788804,380746.000000,6192.000000
1023.288989,1.793162,383716.000000,6178.000000
1027.060655,1.792177,385945.000000,6228.000000
1030.828159,1.798116,386987.000000,6160.000000
1034.591500,1.790775,387357.000000,6271.000000
1038.350679,1.791159,387082.000000,6261.000000
1042.105695,1.789353,386153.000000,6272.000000
1047.105908,1.792267,384290.000000,6200.000000
1050.851212,1.797447,383632.000000,6116.000000
1054.592353,1.791329,382162.000000,6179.000000
1058.329331,1.788287,380354.000000,6193.000000
1062.062147,1.794527,379441.000000,6090.000000
1065.790801,1.797329,379389.000000,6050.000000
1069.515292,1.794871,379305.000000,6083.000000
1073.235620,1.791840,378896.000000,6119.000000
1076.951786,1.797960,378810.000000,6032.000000
1080.663789,1.794148,379670.000000,6099.000000
1084.371630,1.802016,380716.000000,6006.000000
1089.308943,1.795889,380820.000000,6093.000000
1093.007071,1.795570,381977.000000,6116.000000
1096.701037,1.801096,383643.000000,6065.000000
1100.390840,1.797892,384527.000000,6124.000000
1104.076481,1.800736,384778.000000,6088.000000
